JoinField,JoinField_alt,Ward/Township,Precinct,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
CITY OF CHICAGO:WARD 40 PRECINCT 01,CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,119,3,41,30,3,1,51,38,0,91,4,2,0,8,1,392
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,136,9,43,52,14,1,52,18,3,113,0,1,3,9,1,455
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,116,3,52,28,12,5,40,8,2,149,3,3,1,25,1,448
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,16,1,8,11,2,1,5,2,0,17,0,2,0,0,0,65
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,69,4,14,24,5,3,34,10,1,104,3,1,1,16,0,289
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,85,7,38,33,17,7,32,16,1,95,1,5,2,15,2,356
CITY OF CHICAGO:WARD 40 PRECINCT 07,CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,118,2,71,33,11,1,45,7,2,133,1,2,3,11,0,440
CITY OF CHICAGO:WARD 40 PRECINCT 10,CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,248,4,115,56,9,3,67,17,1,295,1,5,2,11,1,835
CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,157,0,91,52,3,2,60,11,0,349,1,3,1,39,0,769
CITY OF CHICAGO:WARD 40 PRECINCT 15,CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,139,4,82,38,4,5,39,5,1,217,0,3,0,14,1,552
CITY OF CHICAGO:WARD 40 PRECINCT 16,CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,101,6,66,25,3,3,24,9,0,219,1,0,1,36,1,495
CITY OF CHICAGO:WARD 40 PRECINCT 19,CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,60,2,25,19,3,1,26,4,0,109,0,1,0,10,1,261
CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,151,1,53,40,2,1,73,22,0,204,3,3,1,41,1,596
CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,140,5,53,50,1,4,33,17,0,241,2,2,1,25,0,574
CITY OF CHICAGO:WARD 41 PRECINCT 28,CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,70,4,18,8,2,3,57,37,2,49,1,2,3,8,3,267
CITY OF CHICAGO:WARD 41 PRECINCT 29,CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,116,3,20,5,8,5,116,65,1,78,11,2,3,10,4,447
CITY OF CHICAGO:WARD 41 PRECINCT 30,CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,78,3,9,6,4,8,57,39,1,48,7,1,2,4,2,269
CITY OF CHICAGO:WARD 41 PRECINCT 31,CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,63,1,12,1,2,4,74,47,2,42,6,1,3,5,6,269
CITY OF CHICAGO:WARD 46 PRECINCT 06,CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,226,7,65,48,14,2,86,18,4,336,4,3,2,12,1,828
CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,59,5,24,15,7,2,27,3,0,106,3,2,0,3,2,258
CITY OF CHICAGO:WARD 46 PRECINCT 08,CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,105,4,37,27,1,4,50,13,2,219,2,1,1,24,1,491
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,76,5,50,27,7,1,19,7,1,179,2,2,2,18,1,397
CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,121,9,74,38,12,8,59,7,0,290,2,6,3,36,1,666
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,231,3,71,35,9,3,117,16,3,315,3,1,0,10,0,817
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,152,6,87,44,12,5,48,4,0,381,2,3,1,24,1,770
CITY OF CHICAGO:WARD 46 PRECINCT 14,CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,68,4,52,21,15,1,43,1,5,124,0,5,1,15,4,359
CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,273,9,68,31,20,8,116,23,2,227,2,9,6,19,2,815
CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,114,6,78,50,9,2,36,11,0,321,0,7,0,22,1,657
CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,129,3,155,40,10,3,69,9,3,327,2,4,1,18,0,773
CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,143,7,116,37,21,3,39,12,2,320,4,3,1,34,0,742
CITY OF CHICAGO:WARD 46 PRECINCT 19,CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,121,9,108,29,11,3,27,6,0,280,0,5,1,31,1,632
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,93,9,95,34,11,6,30,8,4,160,2,1,1,33,0,487
CITY OF CHICAGO:WARD 46 PRECINCT 21,CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,107,2,70,12,7,3,36,12,0,106,1,1,0,41,0,398
CITY OF CHICAGO:WARD 46 PRECINCT 22,CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,77,9,99,21,21,3,45,3,4,138,4,2,1,20,0,447
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,80,5,62,18,5,1,26,5,2,164,4,1,0,41,0,414
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,34,0,24,16,4,0,14,1,2,61,2,0,0,11,0,169
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,60,0,33,13,0,1,22,4,0,105,3,1,2,12,0,256
CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,153,2,81,53,8,4,62,15,0,296,1,4,1,36,0,716
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,156,1,102,50,4,4,34,13,0,417,0,1,1,57,0,840
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,131,2,87,44,8,2,39,5,1,390,1,0,1,62,1,774
CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,176,2,113,38,5,4,59,10,0,302,0,1,3,8,0,721
CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,52,2,30,21,7,1,24,11,1,75,0,1,1,2,1,229
CITY OF CHICAGO:WARD 48 PRECINCT 03,CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,75,5,88,18,7,3,30,5,2,120,0,1,1,8,0,363
CITY OF CHICAGO:WARD 48 PRECINCT 04,CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,91,3,76,21,3,6,37,6,1,203,1,2,2,31,0,483
CITY OF CHICAGO:WARD 48 PRECINCT 05,CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,105,0,78,5,1,0,23,12,0,56,0,0,1,3,1,285
CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,119,3,109,28,11,3,46,5,0,213,0,7,0,8,1,553
CITY OF CHICAGO:WARD 48 PRECINCT 07,CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,150,0,85,36,1,3,34,8,1,220,3,1,0,8,0,550
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,114,1,43,18,2,1,54,16,2,85,2,2,1,5,0,346
CITY OF CHICAGO:WARD 48 PRECINCT 09,CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,66,13,31,11,1,4,32,3,1,56,0,1,0,3,1,223
CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,187,1,106,45,1,1,43,8,1,221,1,1,1,19,1,637
CITY OF CHICAGO:WARD 48 PRECINCT 11,CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,114,2,116,12,1,3,39,13,0,163,1,2,1,6,0,473
CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,121,10,104,34,5,3,57,9,2,228,1,3,2,10,0,589
CITY OF CHICAGO:WARD 48 PRECINCT 13,CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,179,5,56,12,6,5,52,17,0,92,2,1,0,9,0,436
CITY OF CHICAGO:WARD 48 PRECINCT 14,CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,119,4,83,27,8,1,50,11,3,170,0,0,2,11,0,489
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,61,4,73,18,12,4,23,7,1,176,1,2,3,4,0,389
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,79,8,45,23,6,6,27,4,2,125,1,1,0,13,0,340
CITY OF CHICAGO:WARD 48 PRECINCT 17,CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,58,1,28,14,2,2,18,3,1,29,0,1,0,4,0,161
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,94,8,68,45,8,5,33,11,1,197,2,7,1,5,1,486
CITY OF CHICAGO:WARD 48 PRECINCT 19,CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,104,1,45,7,2,4,34,12,0,80,0,1,0,3,1,294
CITY OF CHICAGO:WARD 48 PRECINCT 20,CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,75,4,22,8,2,1,22,9,0,49,0,2,1,4,0,199
CITY OF CHICAGO:WARD 48 PRECINCT 21,CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,93,8,99,31,17,1,44,6,1,178,1,5,0,63,0,547
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,103,4,39,8,5,3,66,6,0,60,1,2,1,4,1,303
CITY OF CHICAGO:WARD 48 PRECINCT 23,CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,194,3,36,9,4,3,50,4,1,109,0,2,3,15,0,433
CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,132,4,96,22,7,4,68,9,4,209,1,3,3,55,1,618
CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,151,0,86,46,1,3,36,10,0,252,1,1,0,9,1,597
CITY OF CHICAGO:WARD 48 PRECINCT 26,CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,122,1,45,4,4,1,33,5,1,63,0,3,1,1,0,284
CITY OF CHICAGO:WARD 48 PRECINCT 27,CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,83,2,50,24,9,0,36,14,0,154,2,1,2,10,0,387
CITY OF CHICAGO:WARD 48 PRECINCT 28,CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,73,2,63,24,11,2,25,3,0,224,1,2,0,9,1,440
CITY OF CHICAGO:WARD 48 PRECINCT 29,CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,85,7,41,4,7,8,48,12,0,18,2,3,2,5,2,244
CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,165,0,81,23,2,4,43,20,0,183,0,2,0,6,0,529
CITY OF CHICAGO:WARD 48 PRECINCT 31,CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,108,0,103,34,3,0,16,5,0,243,1,1,1,7,0,522
CITY OF CHICAGO:WARD 48 PRECINCT 32,CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,84,0,46,25,4,0,28,9,1,131,2,1,1,6,0,338
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,87,2,28,0,2,3,25,1,0,42,0,0,0,3,0,193
CITY OF CHICAGO:WARD 48 PRECINCT 34,CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,100,2,79,31,5,1,32,9,0,126,1,4,1,7,0,398
CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,184,0,154,26,2,4,70,13,0,198,2,0,0,3,0,656
CITY OF CHICAGO:WARD 49 PRECINCT 01,CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,128,5,91,28,19,2,47,9,1,181,1,2,2,4,0,520
CITY OF CHICAGO:WARD 49 PRECINCT 02,CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,135,7,68,23,14,9,49,13,1,182,1,4,4,4,5,519
CITY OF CHICAGO:WARD 49 PRECINCT 03,CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,175,5,92,41,13,6,49,25,1,235,3,6,1,8,1,661
CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,125,4,113,50,15,3,43,14,0,369,2,1,1,6,0,746
CITY OF CHICAGO:WARD 49 PRECINCT 05,CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,159,2,101,58,7,4,45,26,0,304,2,3,0,5,0,716
CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,7,0,7,3,1,0,6,0,0,26,0,0,1,0,0,51
CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,153,4,137,53,13,5,49,20,2,298,2,6,1,11,4,758
CITY OF CHICAGO:WARD 49 PRECINCT 08,CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,177,3,155,63,4,3,47,11,3,462,3,2,0,11,0,944
CITY OF CHICAGO:WARD 49 PRECINCT 09,CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,116,1,128,48,13,1,29,17,2,366,3,8,0,4,0,736
CITY OF CHICAGO:WARD 49 PRECINCT 10,CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,150,1,84,30,5,3,51,12,1,183,2,1,1,2,0,526
CITY OF CHICAGO:WARD 49 PRECINCT 11,CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,164,3,68,22,11,6,43,16,0,194,1,2,0,4,1,535
CITY OF CHICAGO:WARD 49 PRECINCT 12,CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,119,4,74,20,12,3,32,8,1,135,1,1,1,5,2,418
CITY OF CHICAGO:WARD 49 PRECINCT 13,CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,167,4,99,36,15,4,40,15,2,249,4,6,0,4,2,647
CITY OF CHICAGO:WARD 49 PRECINCT 14,CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,198,7,112,35,18,2,52,13,0,327,2,5,3,9,2,785
CITY OF CHICAGO:WARD 49 PRECINCT 15,CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,143,5,119,52,14,2,49,8,1,322,2,6,5,10,1,739
CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,128,5,113,46,12,6,40,6,0,305,1,0,2,3,1,668
CITY OF CHICAGO:WARD 49 PRECINCT 17,CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,165,4,121,45,11,0,36,18,0,358,0,1,1,2,1,763
CITY OF CHICAGO:WARD 50 PRECINCT 01,CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,60,0,15,4,0,4,431,12,0,19,1,1,0,7,0,554
CITY OF CHICAGO:WARD 50 PRECINCT 02,CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,92,0,13,7,7,4,229,8,0,31,0,2,2,13,1,409
CITY OF CHICAGO:WARD 50 PRECINCT 03,CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,70,1,16,9,1,2,160,17,0,37,0,0,3,4,0,320
CITY OF CHICAGO:WARD 50 PRECINCT 04,CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,75,2,20,19,7,4,35,9,1,63,4,1,1,3,1,245
CITY OF CHICAGO:WARD 50 PRECINCT 05,CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,118,1,31,17,6,3,215,35,0,78,2,1,2,12,0,521
CITY OF CHICAGO:WARD 50 PRECINCT 06,CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,57,3,11,8,8,4,39,9,1,56,4,3,1,4,2,210
CITY OF CHICAGO:WARD 50 PRECINCT 07,CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,146,2,106,28,10,3,61,34,1,126,1,2,0,5,3,528
CITY OF CHICAGO:WARD 50 PRECINCT 08,CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,64,4,28,49,11,3,30,12,2,124,0,9,0,11,1,348
CITY OF CHICAGO:WARD 50 PRECINCT 09,CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,34,0,3,0,3,2,65,6,0,3,0,2,1,0,1,120
CITY OF CHICAGO:WARD 50 PRECINCT 10,CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,29,0,5,23,0,2,197,9,0,41,1,0,1,1,0,309
CITY OF CHICAGO:WARD 50 PRECINCT 11,CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,67,1,4,8,2,3,489,19,0,14,1,0,0,3,0,611
CITY OF CHICAGO:WARD 50 PRECINCT 12,CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,21,0,2,9,1,2,52,0,0,12,0,0,2,1,0,102
CITY OF CHICAGO:WARD 50 PRECINCT 13,CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,113,1,27,51,4,3,67,8,0,99,3,1,1,3,3,384
CITY OF CHICAGO:WARD 50 PRECINCT 14,CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,19,0,1,6,0,0,46,1,0,9,0,2,3,3,0,90
CITY OF CHICAGO:WARD 50 PRECINCT 15,CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,115,3,29,45,7,2,47,18,1,105,2,2,0,12,0,388
CITY OF CHICAGO:WARD 50 PRECINCT 16,CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,19,0,4,5,0,1,60,2,0,8,0,0,1,1,0,101
CITY OF CHICAGO:WARD 50 PRECINCT 17,CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,26,5,8,17,4,1,30,1,1,37,0,0,0,3,0,133
CITY OF CHICAGO:WARD 50 PRECINCT 18,CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,10,0,0,0,0,1,57,5,0,0,0,0,1,0,0,74
CITY OF CHICAGO:WARD 50 PRECINCT 19,CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,36,2,11,22,5,1,7,1,1,49,0,0,0,1,0,136
CITY OF CHICAGO:WARD 50 PRECINCT 20,CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,44,1,7,25,4,2,14,4,0,37,0,0,0,2,0,140
CITY OF CHICAGO:WARD 50 PRECINCT 21,CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,53,7,19,53,11,1,40,5,0,123,0,1,0,1,1,315
CITY OF CHICAGO:WARD 50 PRECINCT 22,CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,47,1,15,30,2,6,340,13,1,31,1,0,0,3,2,492
CITY OF CHICAGO:WARD 50 PRECINCT 23,CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,55,2,14,22,8,2,89,11,0,69,2,2,1,12,0,289
CITY OF CHICAGO:WARD 50 PRECINCT 24,CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,31,1,2,3,1,0,166,1,0,22,1,1,0,0,0,229
CITY OF CHICAGO:WARD 50 PRECINCT 25,CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,11,2,1,3,0,1,21,0,0,11,0,3,0,1,4,58
