JoinField,JB Pritzker / Christian Mitchell,Total Voters
LAKE:ANTIOCH 1,133,133
LAKE:ANTIOCH 2,70,70
LAKE:ANTIOCH 3,104,104
LAKE:ANTIOCH 4,92,92
LAKE:ANTIOCH 5,100,100
LAKE:ANTIOCH 6,114,114
LAKE:ANTIOCH 7,112,112
LAKE:ANTIOCH 8,137,137
LAKE:ANTIOCH 9,134,134
LAKE:ANTIOCH 10,88,88
LAKE:ANTIOCH 11,130,130
LAKE:ANTIOCH 12,112,112
LAKE:ANTIOCH 13,105,105
LAKE:ANTIOCH 14,120,120
LAKE:ANTIOCH 15,113,113
LAKE:ANTIOCH 16,89,89
LAKE:ANTIOCH 17,61,61
LAKE:ANTIOCH 18,122,122
LAKE:ANTIOCH 19,84,84
LAKE:AVON 20,115,115
LAKE:AVON 21,83,83
LAKE:AVON 22,92,92
LAKE:AVON 23,98,98
LAKE:AVON 24,117,117
LAKE:AVON 25,199,199
LAKE:AVON 26,115,115
LAKE:AVON 27,109,109
LAKE:AVON 28,97,97
LAKE:AVON 29,148,148
LAKE:AVON 30,121,121
LAKE:AVON 31,117,117
LAKE:AVON 32,130,130
LAKE:AVON 33,128,128
LAKE:AVON 34,124,124
LAKE:AVON 35,153,153
LAKE:AVON 36,154,154
LAKE:AVON 37,159,159
LAKE:AVON 38,102,102
LAKE:AVON 39,150,150
LAKE:AVON 40,130,130
LAKE:AVON 41,113,113
LAKE:AVON 42,136,136
LAKE:AVON 43,167,167
LAKE:AVON 44,194,194
LAKE:AVON 45,159,159
LAKE:AVON 46,166,166
LAKE:AVON 47,191,191
LAKE:AVON 48,204,204
LAKE:AVON 49,174,174
LAKE:AVON 50,168,168
LAKE:AVON 51,168,168
LAKE:AVON 52,206,206
LAKE:BENTON 53,100,100
LAKE:BENTON 54,111,111
LAKE:BENTON 55,111,111
LAKE:BENTON 56,72,72
LAKE:BENTON 57,50,50
LAKE:BENTON 58,76,76
LAKE:BENTON 59,93,93
LAKE:BENTON 60,77,77
LAKE:BENTON 61,164,164
LAKE:BENTON 62,117,117
LAKE:BENTON 63,103,103
LAKE:BENTON 64,34,34
LAKE:BENTON 65,75,75
LAKE:CUBA 66,72,72
LAKE:CUBA 67,163,163
LAKE:CUBA 68,197,197
LAKE:CUBA 69,111,111
LAKE:CUBA 70,235,235
LAKE:CUBA 71,252,252
LAKE:CUBA 72,127,127
LAKE:CUBA 73,150,150
LAKE:CUBA 74,193,193
LAKE:CUBA 75,118,118
LAKE:CUBA 76,135,135
LAKE:CUBA 77,183,183
LAKE:CUBA 78,202,202
LAKE:ELA 79,128,128
LAKE:ELA 80,174,174
LAKE:ELA 81,122,122
LAKE:ELA 82,168,168
LAKE:ELA 83,172,172
LAKE:ELA 84,106,106
LAKE:ELA 85,167,167
LAKE:ELA 86,119,119
LAKE:ELA 87,141,141
LAKE:ELA 88,139,139
LAKE:ELA 89,127,127
LAKE:ELA 90,164,164
LAKE:ELA 91,128,128
LAKE:ELA 92,189,189
LAKE:ELA 93,112,112
LAKE:ELA 94,111,111
LAKE:ELA 95,123,123
LAKE:ELA 96,137,137
LAKE:ELA 97,161,161
LAKE:ELA 98,156,156
LAKE:ELA 99,157,157
LAKE:ELA 100,111,111
LAKE:ELA 101,157,157
LAKE:ELA 102,102,102
LAKE:ELA 103,151,151
LAKE:ELA 104,139,139
LAKE:ELA 105,108,108
LAKE:ELA 106,167,167
LAKE:ELA 107,106,106
LAKE:FREMONT 108,110,110
LAKE:FREMONT 109,111,111
LAKE:FREMONT 110,298,298
LAKE:FREMONT 111,273,273
LAKE:FREMONT 112,127,127
LAKE:FREMONT 113,95,95
LAKE:FREMONT 114,204,204
LAKE:FREMONT 115,147,147
LAKE:FREMONT 116,246,246
LAKE:FREMONT 117,259,259
LAKE:FREMONT 118,183,183
LAKE:FREMONT 119,176,176
LAKE:FREMONT 120,154,154
LAKE:FREMONT 121,227,227
LAKE:FREMONT 122,238,238
LAKE:FREMONT 123,184,184
LAKE:FREMONT 124,184,184
LAKE:FREMONT 125,219,219
LAKE:FREMONT 126,158,158
LAKE:FREMONT 127,143,143
LAKE:FREMONT 128,207,207
LAKE:FREMONT 129,196,196
LAKE:GRANT 130,88,88
LAKE:GRANT 131,109,109
LAKE:GRANT 132,116,116
LAKE:GRANT 133,78,78
LAKE:GRANT 134,108,108
LAKE:GRANT 135,98,98
LAKE:GRANT 136,89,89
LAKE:GRANT 137,115,115
LAKE:GRANT 138,97,97
LAKE:GRANT 139,130,130
LAKE:GRANT 140,132,132
LAKE:GRANT 141,95,95
LAKE:GRANT 142,107,107
LAKE:GRANT 143,67,67
LAKE:GRANT 144,162,162
LAKE:GRANT 145,91,91
LAKE:GRANT 146,137,137
LAKE:GRANT 147,138,138
LAKE:LAKE VILLA 148,127,127
LAKE:LAKE VILLA 149,95,95
LAKE:LAKE VILLA 150,117,117
LAKE:LAKE VILLA 151,99,99
LAKE:LAKE VILLA 152,130,130
LAKE:LAKE VILLA 153,123,123
LAKE:LAKE VILLA 154,129,129
LAKE:LAKE VILLA 155,91,91
LAKE:LAKE VILLA 156,94,94
LAKE:LAKE VILLA 157,126,126
LAKE:LAKE VILLA 158,126,126
LAKE:LAKE VILLA 159,157,157
LAKE:LAKE VILLA 160,162,162
LAKE:LAKE VILLA 161,120,120
LAKE:LAKE VILLA 162,111,111
LAKE:LAKE VILLA 163,124,124
LAKE:LAKE VILLA 164,119,119
LAKE:LAKE VILLA 165,131,131
LAKE:LAKE VILLA 166,135,135
LAKE:LAKE VILLA 167,105,105
LAKE:LAKE VILLA 168,119,119
LAKE:LAKE VILLA 169,127,127
LAKE:LAKE VILLA 170,162,162
LAKE:LAKE VILLA 171,83,83
LAKE:LAKE VILLA 172,138,138
LAKE:LAKE VILLA 173,216,216
LAKE:LIBERTYVILLE 174,80,80
LAKE:LIBERTYVILLE 175,160,160
LAKE:LIBERTYVILLE 176,141,141
LAKE:LIBERTYVILLE 177,159,159
LAKE:LIBERTYVILLE 178,173,173
LAKE:LIBERTYVILLE 179,77,77
LAKE:LIBERTYVILLE 180,168,168
LAKE:LIBERTYVILLE 181,186,186
LAKE:LIBERTYVILLE 182,111,111
LAKE:LIBERTYVILLE 183,151,151
LAKE:LIBERTYVILLE 184,186,186
LAKE:LIBERTYVILLE 185,114,114
LAKE:LIBERTYVILLE 186,134,134
LAKE:LIBERTYVILLE 187,206,206
LAKE:LIBERTYVILLE 188,107,107
LAKE:LIBERTYVILLE 189,168,168
LAKE:LIBERTYVILLE 190,168,168
LAKE:LIBERTYVILLE 191,159,159
LAKE:LIBERTYVILLE 192,118,118
LAKE:LIBERTYVILLE 193,117,117
LAKE:LIBERTYVILLE 194,166,166
LAKE:LIBERTYVILLE 195,161,161
LAKE:LIBERTYVILLE 196,170,170
LAKE:LIBERTYVILLE 197,177,177
LAKE:LIBERTYVILLE 198,171,171
LAKE:LIBERTYVILLE 199,189,189
LAKE:LIBERTYVILLE 200,230,230
LAKE:LIBERTYVILLE 201,148,148
LAKE:LIBERTYVILLE 202,235,235
LAKE:LIBERTYVILLE 203,163,163
LAKE:LIBERTYVILLE 204,152,152
LAKE:LIBERTYVILLE 205,79,79
LAKE:LIBERTYVILLE 206,153,153
LAKE:LIBERTYVILLE 207,89,89
LAKE:LIBERTYVILLE 208,99,99
LAKE:LIBERTYVILLE 209,185,185
LAKE:MORAINE 210,121,121
LAKE:MORAINE 211,266,266
LAKE:MORAINE 212,141,141
LAKE:MORAINE 213,185,185
LAKE:MORAINE 214,325,325
LAKE:MORAINE 215,274,274
LAKE:MORAINE 216,214,214
LAKE:MORAINE 217,264,264
LAKE:MORAINE 218,357,357
LAKE:MORAINE 219,234,234
LAKE:MORAINE 220,181,181
LAKE:MORAINE 221,265,265
LAKE:MORAINE 222,271,271
LAKE:MORAINE 223,259,259
LAKE:MORAINE 224,265,265
LAKE:MORAINE 225,242,242
LAKE:MORAINE 226,197,197
LAKE:MORAINE 227,225,225
LAKE:MORAINE 228,295,295
LAKE:MORAINE 229,296,296
LAKE:MORAINE 230,320,320
LAKE:MORAINE 231,278,278
LAKE:MORAINE 232,268,268
LAKE:NEWPORT 233,114,114
LAKE:NEWPORT 234,121,121
LAKE:NEWPORT 235,164,164
LAKE:NEWPORT 236,113,113
LAKE:NEWPORT 237,71,71
LAKE:SHIELDS 238,191,191
LAKE:SHIELDS 239,161,161
LAKE:SHIELDS 240,64,64
LAKE:SHIELDS 241,46,46
LAKE:SHIELDS 242,46,46
LAKE:SHIELDS 243,112,112
LAKE:SHIELDS 244,95,95
LAKE:SHIELDS 245,200,200
LAKE:SHIELDS 246,143,143
LAKE:SHIELDS 247,71,71
LAKE:SHIELDS 248,191,191
LAKE:SHIELDS 249,176,176
LAKE:SHIELDS 250,178,178
LAKE:SHIELDS 251,91,91
LAKE:SHIELDS 252,116,116
LAKE:SHIELDS 253,98,98
LAKE:SHIELDS 254,112,112
LAKE:SHIELDS 255,58,58
LAKE:VERNON 256,127,127
LAKE:VERNON 257,129,129
LAKE:VERNON 258,128,128
LAKE:VERNON 259,220,220
LAKE:VERNON 260,240,240
LAKE:VERNON 261,142,142
LAKE:VERNON 262,149,149
LAKE:VERNON 263,159,159
LAKE:VERNON 264,99,99
LAKE:VERNON 265,143,143
LAKE:VERNON 266,90,90
LAKE:VERNON 267,150,150
LAKE:VERNON 268,207,207
LAKE:VERNON 269,184,184
LAKE:VERNON 270,120,120
LAKE:VERNON 271,199,199
LAKE:VERNON 272,196,196
LAKE:VERNON 273,103,103
LAKE:VERNON 274,193,193
LAKE:VERNON 275,74,74
LAKE:VERNON 276,192,192
LAKE:VERNON 277,193,193
LAKE:VERNON 278,114,114
LAKE:VERNON 279,320,320
LAKE:VERNON 280,117,117
LAKE:VERNON 281,218,218
LAKE:VERNON 282,118,118
LAKE:VERNON 283,201,201
LAKE:VERNON 284,302,302
LAKE:VERNON 285,206,206
LAKE:VERNON 286,202,202
LAKE:VERNON 287,185,185
LAKE:VERNON 288,247,247
LAKE:VERNON 289,171,171
LAKE:VERNON 290,185,185
LAKE:VERNON 291,183,183
LAKE:VERNON 292,264,264
LAKE:VERNON 293,159,159
LAKE:VERNON 294,129,129
LAKE:VERNON 295,185,185
LAKE:VERNON 296,135,135
LAKE:VERNON 297,152,152
LAKE:VERNON 298,267,267
LAKE:WARREN 299,108,108
LAKE:WARREN 300,105,105
LAKE:WARREN 301,132,132
LAKE:WARREN 302,128,128
LAKE:WARREN 303,189,189
LAKE:WARREN 304,146,146
LAKE:WARREN 305,242,242
LAKE:WARREN 306,188,188
LAKE:WARREN 307,117,117
LAKE:WARREN 308,102,102
LAKE:WARREN 309,121,121
LAKE:WARREN 310,154,154
LAKE:WARREN 311,151,151
LAKE:WARREN 312,133,133
LAKE:WARREN 313,134,134
LAKE:WARREN 314,156,156
LAKE:WARREN 315,146,146
LAKE:WARREN 316,151,151
LAKE:WARREN 317,146,146
LAKE:WARREN 318,142,142
LAKE:WARREN 319,147,147
LAKE:WARREN 320,134,134
LAKE:WARREN 321,159,159
LAKE:WARREN 322,175,175
LAKE:WARREN 323,169,169
LAKE:WARREN 324,201,201
LAKE:WARREN 325,97,97
LAKE:WARREN 326,150,150
LAKE:WARREN 327,172,172
LAKE:WARREN 328,83,83
LAKE:WARREN 329,216,216
LAKE:WARREN 330,212,212
LAKE:WARREN 331,141,141
LAKE:WARREN 332,126,126
LAKE:WARREN 333,171,171
LAKE:WARREN 334,136,136
LAKE:WARREN 335,103,103
LAKE:WARREN 336,106,106
LAKE:WARREN 337,112,112
LAKE:WARREN 338,133,133
LAKE:WAUCONDA 339,87,87
LAKE:WAUCONDA 340,99,99
LAKE:WAUCONDA 341,122,122
LAKE:WAUCONDA 342,140,140
LAKE:WAUCONDA 343,134,134
LAKE:WAUCONDA 344,139,139
LAKE:WAUCONDA 345,51,51
LAKE:WAUCONDA 346,123,123
LAKE:WAUCONDA 347,109,109
LAKE:WAUCONDA 348,70,70
LAKE:WAUCONDA 349,110,110
LAKE:WAUCONDA 350,126,126
LAKE:WAUCONDA 351,176,176
LAKE:WAUCONDA 352,120,120
LAKE:WAUCONDA 353,100,100
LAKE:WAUCONDA 354,163,163
LAKE:WAUKEGAN 355,50,50
LAKE:WAUKEGAN 356,141,141
LAKE:WAUKEGAN 357,84,84
LAKE:WAUKEGAN 358,94,94
LAKE:WAUKEGAN 359,137,137
LAKE:WAUKEGAN 360,144,144
LAKE:WAUKEGAN 361,60,60
LAKE:WAUKEGAN 362,162,162
LAKE:WAUKEGAN 363,114,114
LAKE:WAUKEGAN 364,89,89
LAKE:WAUKEGAN 365,111,111
LAKE:WAUKEGAN 366,165,165
LAKE:WAUKEGAN 367,89,89
LAKE:WAUKEGAN 368,132,132
LAKE:WAUKEGAN 369,73,73
LAKE:WAUKEGAN 370,94,94
LAKE:WAUKEGAN 371,100,100
LAKE:WAUKEGAN 372,95,95
LAKE:WAUKEGAN 373,95,95
LAKE:WAUKEGAN 374,142,142
LAKE:WAUKEGAN 375,143,143
LAKE:WAUKEGAN 376,160,160
LAKE:WAUKEGAN 377,93,93
LAKE:WAUKEGAN 378,113,113
LAKE:WAUKEGAN 379,127,127
LAKE:WAUKEGAN 380,58,58
LAKE:WAUKEGAN 381,120,120
LAKE:WAUKEGAN 382,97,97
LAKE:WAUKEGAN 383,85,85
LAKE:WAUKEGAN 384,71,71
LAKE:WAUKEGAN 385,73,73
LAKE:WAUKEGAN 386,129,129
LAKE:WAUKEGAN 387,95,95
LAKE:WAUKEGAN 388,49,49
LAKE:WAUKEGAN 389,95,95
LAKE:WAUKEGAN 390,69,69
LAKE:WAUKEGAN 391,68,68
LAKE:WAUKEGAN 392,67,67
LAKE:WAUKEGAN 393,147,147
LAKE:WEST DEERFIELD 394,115,115
LAKE:WEST DEERFIELD 395,94,94
LAKE:WEST DEERFIELD 396,77,77
LAKE:WEST DEERFIELD 397,78,78
LAKE:WEST DEERFIELD 398,100,100
LAKE:WEST DEERFIELD 399,95,95
LAKE:WEST DEERFIELD 400,87,87
LAKE:WEST DEERFIELD 401,161,161
LAKE:WEST DEERFIELD 402,115,115
LAKE:WEST DEERFIELD 403,86,86
LAKE:WEST DEERFIELD 404,200,200
LAKE:WEST DEERFIELD 405,360,360
LAKE:WEST DEERFIELD 406,201,201
LAKE:WEST DEERFIELD 407,399,399
LAKE:WEST DEERFIELD 408,128,128
LAKE:WEST DEERFIELD 409,347,347
LAKE:WEST DEERFIELD 410,342,342
LAKE:WEST DEERFIELD 411,306,306
LAKE:WEST DEERFIELD 412,380,380
LAKE:WEST DEERFIELD 413,218,218
LAKE:WEST DEERFIELD 414,336,336
LAKE:WEST DEERFIELD 415,372,372
LAKE:WEST DEERFIELD 416,374,374
LAKE:WEST DEERFIELD 417,260,260
LAKE:WEST DEERFIELD 418,294,294
LAKE:ZION 419,154,154
LAKE:ZION 420,95,95
LAKE:ZION 421,86,86
LAKE:ZION 422,133,133
LAKE:ZION 423,76,76
LAKE:ZION 424,59,59
LAKE:ZION 425,103,103
LAKE:ZION 426,78,78
LAKE:ZION 427,52,52
LAKE:ZION 428,89,89
LAKE:ZION 429,78,78
LAKE:ZION 430,91,91
LAKE:ZION 431,101,101
LAKE:TOTAL:,63307,63307
