JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:8000007,COOK:Maine Precinct 7,149,149
COOK:8000008,COOK:Maine Precinct 8,272,272
COOK:8000009,COOK:Maine Precinct 9,299,299
COOK:8000010,COOK:Maine Precinct 10,327,327
COOK:8000011,COOK:Maine Precinct 11,81,81
COOK:8000012,COOK:Maine Precinct 12,126,126
COOK:8000013,COOK:Maine Precinct 13,158,158
COOK:8000014,COOK:Maine Precinct 14,255,255
COOK:8000015,COOK:Maine Precinct 15,161,161
COOK:8000016,COOK:Maine Precinct 16,140,140
COOK:8000017,COOK:Maine Precinct 17,177,177
COOK:8000018,COOK:Maine Precinct 18,155,155
COOK:8000019,COOK:Maine Precinct 19,79,79
COOK:8000020,COOK:Maine Precinct 20,128,128
COOK:8000021,COOK:Maine Precinct 21,216,216
COOK:8000022,COOK:Maine Precinct 22,237,237
COOK:8000023,COOK:Maine Precinct 23,91,91
COOK:8000024,COOK:Maine Precinct 24,253,253
COOK:8000025,COOK:Maine Precinct 25,359,359
COOK:8000026,COOK:Maine Precinct 26,222,222
COOK:8000027,COOK:Maine Precinct 27,87,87
COOK:8000028,COOK:Maine Precinct 28,57,57
COOK:8000029,COOK:Maine Precinct 29,228,228
COOK:8000030,COOK:Maine Precinct 30,454,454
COOK:8000031,COOK:Maine Precinct 31,139,139
COOK:8000032,COOK:Maine Precinct 32,177,177
COOK:8000033,COOK:Maine Precinct 33,99,99
COOK:8000034,COOK:Maine Precinct 34,216,216
COOK:8000035,COOK:Maine Precinct 35,212,212
COOK:8000036,COOK:Maine Precinct 36,156,156
COOK:8000037,COOK:Maine Precinct 37,152,152
COOK:8000038,COOK:Maine Precinct 38,93,93
COOK:8000039,COOK:Maine Precinct 39,177,177
COOK:8000040,COOK:Maine Precinct 40,138,138
COOK:8000041,COOK:Maine Precinct 41,117,117
COOK:8000042,COOK:Maine Precinct 42,265,265
COOK:8000043,COOK:Maine Precinct 43,138,138
COOK:8000044,COOK:Maine Precinct 44,159,159
COOK:8000045,COOK:Maine Precinct 45,146,146
COOK:8000046,COOK:Maine Precinct 46,164,164
COOK:8000047,COOK:Maine Precinct 47,149,149
COOK:8000048,COOK:Maine Precinct 48,227,227
COOK:8000049,COOK:Maine Precinct 49,139,139
COOK:8000050,COOK:Maine Precinct 50,156,156
COOK:8000051,COOK:Maine Precinct 51,123,123
COOK:8000052,COOK:Maine Precinct 52,205,205
COOK:8000053,COOK:Maine Precinct 53,151,151
COOK:8000054,COOK:Maine Precinct 54,191,191
COOK:8000055,COOK:Maine Precinct 55,146,146
COOK:8000056,COOK:Maine Precinct 56,144,144
COOK:8000057,COOK:Maine Precinct 57,69,69
COOK:8000058,COOK:Maine Precinct 58,141,141
COOK:8000059,COOK:Maine Precinct 59,151,151
COOK:8000060,COOK:Maine Precinct 60,291,291
COOK:8000061,COOK:Maine Precinct 61,104,104
COOK:8000062,COOK:Maine Precinct 62,88,88
COOK:8000063,COOK:Maine Precinct 63,130,130
COOK:8000064,COOK:Maine Precinct 64,95,95
COOK:8000065,COOK:Maine Precinct 65,107,107
COOK:8000066,COOK:Maine Precinct 66,31,31
COOK:8000067,COOK:Maine Precinct 67,243,243
COOK:8000068,COOK:Maine Precinct 68,225,225
COOK:8000069,COOK:Maine Precinct 69,126,126
COOK:8000070,COOK:Maine Precinct 70,114,114
COOK:8000071,COOK:Maine Precinct 71,99,99
COOK:8000072,COOK:Maine Precinct 72,200,200
COOK:8000073,COOK:Maine Precinct 73,106,106
COOK:8000074,COOK:Maine Precinct 74,154,154
COOK:8000075,COOK:Maine Precinct 75,132,132
COOK:8000076,COOK:Maine Precinct 76,85,85
COOK:8000077,COOK:Maine Precinct 77,257,257
COOK:8000078,COOK:Maine Precinct 78,90,90
COOK:8000079,COOK:Maine Precinct 79,178,178
COOK:8000080,COOK:Maine Precinct 80,110,110
COOK:8000081,COOK:Maine Precinct 81,64,64
COOK:8000082,COOK:Maine Precinct 82,151,151
COOK:8000083,COOK:Maine Precinct 83,124,124
COOK:8100001,COOK:New Trier Precinct 1,308,308
COOK:8100002,COOK:New Trier Precinct 2,384,384
COOK:8100003,COOK:New Trier Precinct 3,320,320
COOK:8100004,COOK:New Trier Precinct 4,304,304
COOK:8100005,COOK:New Trier Precinct 5,214,214
COOK:8100006,COOK:New Trier Precinct 6,154,154
COOK:8100007,COOK:New Trier Precinct 7,211,211
COOK:8100008,COOK:New Trier Precinct 8,132,132
COOK:8100009,COOK:New Trier Precinct 9,213,213
COOK:8100010,COOK:New Trier Precinct 10,212,212
COOK:8100011,COOK:New Trier Precinct 11,235,235
COOK:8100012,COOK:New Trier Precinct 12,218,218
COOK:8100013,COOK:New Trier Precinct 13,357,357
COOK:8100014,COOK:New Trier Precinct 14,228,228
COOK:8100015,COOK:New Trier Precinct 15,295,295
COOK:8100016,COOK:New Trier Precinct 16,222,222
COOK:8100017,COOK:New Trier Precinct 17,317,317
COOK:8100018,COOK:New Trier Precinct 18,190,190
COOK:8100019,COOK:New Trier Precinct 19,221,221
COOK:8100020,COOK:New Trier Precinct 20,310,310
COOK:8100021,COOK:New Trier Precinct 21,360,360
COOK:8100022,COOK:New Trier Precinct 22,143,143
COOK:8100023,COOK:New Trier Precinct 23,150,150
COOK:8100024,COOK:New Trier Precinct 24,296,296
COOK:8100025,COOK:New Trier Precinct 25,207,207
COOK:8100026,COOK:New Trier Precinct 26,485,485
COOK:8100027,COOK:New Trier Precinct 27,344,344
COOK:8100028,COOK:New Trier Precinct 28,127,127
COOK:8100029,COOK:New Trier Precinct 29,197,197
COOK:8100030,COOK:New Trier Precinct 30,271,271
COOK:8100031,COOK:New Trier Precinct 31,284,284
COOK:8100032,COOK:New Trier Precinct 32,318,318
COOK:8100033,COOK:New Trier Precinct 33,422,422
COOK:8100034,COOK:New Trier Precinct 34,232,232
COOK:8100035,COOK:New Trier Precinct 35,197,197
COOK:8100036,COOK:New Trier Precinct 36,461,461
COOK:8100037,COOK:New Trier Precinct 37,372,372
COOK:8100038,COOK:New Trier Precinct 38,386,386
COOK:8100039,COOK:New Trier Precinct 39,195,195
COOK:8200001,COOK:Niles Precinct 1,251,251
COOK:8200002,COOK:Niles Precinct 2,202,202
COOK:8200003,COOK:Niles Precinct 3,312,312
COOK:8200004,COOK:Niles Precinct 4,145,145
COOK:8200005,COOK:Niles Precinct 5,134,134
COOK:8200006,COOK:Niles Precinct 6,282,282
COOK:8200007,COOK:Niles Precinct 7,329,329
COOK:8200008,COOK:Niles Precinct 8,189,189
COOK:8200009,COOK:Niles Precinct 9,148,148
COOK:8200010,COOK:Niles Precinct 10,218,218
COOK:8200011,COOK:Niles Precinct 11,121,121
COOK:8200012,COOK:Niles Precinct 12,165,165
COOK:8200013,COOK:Niles Precinct 13,179,179
COOK:8200014,COOK:Niles Precinct 14,341,341
COOK:8200015,COOK:Niles Precinct 15,285,285
COOK:8200016,COOK:Niles Precinct 16,337,337
COOK:8200017,COOK:Niles Precinct 17,361,361
COOK:8200018,COOK:Niles Precinct 18,531,531
COOK:8200019,COOK:Niles Precinct 19,340,340
COOK:8200020,COOK:Niles Precinct 20,197,197
COOK:8200021,COOK:Niles Precinct 21,541,541
COOK:8200022,COOK:Niles Precinct 22,182,182
COOK:8200023,COOK:Niles Precinct 23,309,309
COOK:8200024,COOK:Niles Precinct 24,274,274
COOK:8200025,COOK:Niles Precinct 25,129,129
COOK:8200026,COOK:Niles Precinct 26,214,214
COOK:8200027,COOK:Niles Precinct 27,138,138
COOK:8200028,COOK:Niles Precinct 28,385,385
COOK:8200029,COOK:Niles Precinct 29,258,258
COOK:8200030,COOK:Niles Precinct 30,143,143
COOK:8200031,COOK:Niles Precinct 31,355,355
COOK:8200032,COOK:Niles Precinct 32,133,133
COOK:8200033,COOK:Niles Precinct 33,339,339
COOK:8200034,COOK:Niles Precinct 34,216,216
COOK:8200035,COOK:Niles Precinct 35,276,276
COOK:8200036,COOK:Niles Precinct 36,169,169
COOK:8200037,COOK:Niles Precinct 37,247,247
COOK:8200038,COOK:Niles Precinct 38,412,412
COOK:8200039,COOK:Niles Precinct 39,294,294
COOK:8200040,COOK:Niles Precinct 40,422,422
COOK:8200041,COOK:Niles Precinct 41,276,276
COOK:8200042,COOK:Niles Precinct 42,232,232
COOK:8200043,COOK:Niles Precinct 43,230,230
COOK:8200044,COOK:Niles Precinct 44,292,292
COOK:8200045,COOK:Niles Precinct 45,238,238
COOK:8200046,COOK:Niles Precinct 46,298,298
COOK:8200047,COOK:Niles Precinct 47,189,189
COOK:8200048,COOK:Niles Precinct 48,164,164
COOK:8200049,COOK:Niles Precinct 49,482,482
COOK:8200050,COOK:Niles Precinct 50,249,249
COOK:8200051,COOK:Niles Precinct 51,126,126
COOK:8200052,COOK:Niles Precinct 52,150,150
COOK:8200053,COOK:Niles Precinct 53,371,371
COOK:8200054,COOK:Niles Precinct 54,142,142
COOK:8200055,COOK:Niles Precinct 55,187,187
COOK:8200056,COOK:Niles Precinct 56,303,303
COOK:8200057,COOK:Niles Precinct 57,267,267
COOK:8200058,COOK:Niles Precinct 58,293,293
COOK:8200059,COOK:Niles Precinct 59,351,351
COOK:8200060,COOK:Niles Precinct 60,348,348
COOK:8200061,COOK:Niles Precinct 61,307,307
COOK:8200062,COOK:Niles Precinct 62,131,131
COOK:8300001,COOK:Northfield Precinct 1,156,156
COOK:8300002,COOK:Northfield Precinct 2,224,224
COOK:8300003,COOK:Northfield Precinct 3,313,313
COOK:8300004,COOK:Northfield Precinct 4,198,198
COOK:8300005,COOK:Northfield Precinct 5,148,148
COOK:8300006,COOK:Northfield Precinct 6,231,231
COOK:8300007,COOK:Northfield Precinct 7,348,348
COOK:8300008,COOK:Northfield Precinct 8,286,286
COOK:8300009,COOK:Northfield Precinct 9,193,193
COOK:8300010,COOK:Northfield Precinct 10,197,197
COOK:8300011,COOK:Northfield Precinct 11,267,267
COOK:8300012,COOK:Northfield Precinct 12,399,399
COOK:8300013,COOK:Northfield Precinct 13,184,184
COOK:8300014,COOK:Northfield Precinct 14,203,203
COOK:8300015,COOK:Northfield Precinct 15,416,416
COOK:8300016,COOK:Northfield Precinct 16,226,226
COOK:8300017,COOK:Northfield Precinct 17,273,273
COOK:8300018,COOK:Northfield Precinct 18,314,314
COOK:8300019,COOK:Northfield Precinct 19,284,284
COOK:8300020,COOK:Northfield Precinct 20,253,253
COOK:8300021,COOK:Northfield Precinct 21,350,350
COOK:8300022,COOK:Northfield Precinct 22,242,242
COOK:8300023,COOK:Northfield Precinct 23,152,152
COOK:8300024,COOK:Northfield Precinct 24,227,227
COOK:8300025,COOK:Northfield Precinct 25,200,200
COOK:8300026,COOK:Northfield Precinct 26,227,227
COOK:8300027,COOK:Northfield Precinct 27,203,203
COOK:8300028,COOK:Northfield Precinct 28,380,380
COOK:8300029,COOK:Northfield Precinct 29,196,196
COOK:8300030,COOK:Northfield Precinct 30,285,285
COOK:8300031,COOK:Northfield Precinct 31,253,253
COOK:8300032,COOK:Northfield Precinct 32,281,281
COOK:8300033,COOK:Northfield Precinct 33,91,91
COOK:8300034,COOK:Northfield Precinct 34,196,196
COOK:8300035,COOK:Northfield Precinct 35,193,193
COOK:8300036,COOK:Northfield Precinct 36,190,190
COOK:8300037,COOK:Northfield Precinct 37,352,352
COOK:8300038,COOK:Northfield Precinct 38,194,194
COOK:8300039,COOK:Northfield Precinct 39,115,115
COOK:8300040,COOK:Northfield Precinct 40,125,125
COOK:8300041,COOK:Northfield Precinct 41,246,246
COOK:8300042,COOK:Northfield Precinct 42,202,202
COOK:8300043,COOK:Northfield Precinct 43,234,234
COOK:8300044,COOK:Northfield Precinct 44,193,193
COOK:8300045,COOK:Northfield Precinct 45,166,166
COOK:8300046,COOK:Northfield Precinct 46,250,250
COOK:8300047,COOK:Northfield Precinct 47,382,382
COOK:8300048,COOK:Northfield Precinct 48,193,193
COOK:8300049,COOK:Northfield Precinct 49,142,142
COOK:8300050,COOK:Northfield Precinct 50,208,208
COOK:8300051,COOK:Northfield Precinct 51,599,599
COOK:8300052,COOK:Northfield Precinct 52,269,269
COOK:8300053,COOK:Northfield Precinct 53,251,251
COOK:8300054,COOK:Northfield Precinct 54,386,386
COOK:8300055,COOK:Northfield Precinct 55,273,273
COOK:8300056,COOK:Northfield Precinct 56,303,303
COOK:8300057,COOK:Northfield Precinct 57,159,159
COOK:8300058,COOK:Northfield Precinct 58,97,97
COOK:8400001,COOK:Norwood Park Precinct 1,163,163
COOK:8400002,COOK:Norwood Park Precinct 2,142,142
COOK:8400003,COOK:Norwood Park Precinct 3,204,204
COOK:8400004,COOK:Norwood Park Precinct 4,109,109
COOK:8400005,COOK:Norwood Park Precinct 5,211,211
COOK:8400006,COOK:Norwood Park Precinct 6,155,155
COOK:8400007,COOK:Norwood Park Precinct 7,103,103
COOK:8400008,COOK:Norwood Park Precinct 8,59,59
COOK:8400009,COOK:Norwood Park Precinct 9,163,163
COOK:8400010,COOK:Norwood Park Precinct 10,84,84
COOK:8400011,COOK:Norwood Park Precinct 11,235,235
COOK:8400012,COOK:Norwood Park Precinct 12,144,144
COOK:8400013,COOK:Norwood Park Precinct 13,115,115
COOK:8400014,COOK:Norwood Park Precinct 14,130,130
COOK:8500001,COOK:Oak Park Precinct 1,693,693
COOK:8500002,COOK:Oak Park Precinct 2,581,581
COOK:8500003,COOK:Oak Park Precinct 3,607,607
COOK:8500004,COOK:Oak Park Precinct 4,479,479
COOK:8500005,COOK:Oak Park Precinct 5,482,482
COOK:8500006,COOK:Oak Park Precinct 6,436,436
COOK:8500007,COOK:Oak Park Precinct 7,582,582
COOK:8500008,COOK:Oak Park Precinct 8,437,437
COOK:8500009,COOK:Oak Park Precinct 9,583,583
COOK:8500010,COOK:Oak Park Precinct 10,463,463
COOK:8500011,COOK:Oak Park Precinct 11,366,366
COOK:8500012,COOK:Oak Park Precinct 12,204,204
COOK:8500013,COOK:Oak Park Precinct 13,406,406
COOK:8500014,COOK:Oak Park Precinct 14,479,479
COOK:8500015,COOK:Oak Park Precinct 15,523,523
COOK:8500016,COOK:Oak Park Precinct 16,665,665
COOK:8500017,COOK:Oak Park Precinct 17,646,646
COOK:8500018,COOK:Oak Park Precinct 18,367,367
COOK:8500019,COOK:Oak Park Precinct 19,438,438
COOK:8500020,COOK:Oak Park Precinct 20,562,562
COOK:8500021,COOK:Oak Park Precinct 21,359,359
COOK:8500022,COOK:Oak Park Precinct 22,478,478
COOK:8500023,COOK:Oak Park Precinct 23,411,411
COOK:8500024,COOK:Oak Park Precinct 24,319,319
COOK:8500025,COOK:Oak Park Precinct 25,464,464
COOK:8500026,COOK:Oak Park Precinct 26,553,553
COOK:8500027,COOK:Oak Park Precinct 27,707,707
COOK:8500028,COOK:Oak Park Precinct 28,517,517
COOK:8500029,COOK:Oak Park Precinct 29,419,419
COOK:8500030,COOK:Oak Park Precinct 30,344,344
COOK:8500031,COOK:Oak Park Precinct 31,690,690
COOK:8500032,COOK:Oak Park Precinct 32,516,516
COOK:8600001,COOK:Orland Precinct 1,220,220
COOK:8600002,COOK:Orland Precinct 2,151,151
COOK:8600003,COOK:Orland Precinct 3,172,172
COOK:8600004,COOK:Orland Precinct 4,225,225
COOK:8600005,COOK:Orland Precinct 5,152,152
COOK:8600006,COOK:Orland Precinct 6,139,139
COOK:8600007,COOK:Orland Precinct 7,144,144
COOK:8600008,COOK:Orland Precinct 8,175,175
COOK:8600009,COOK:Orland Precinct 9,231,231
COOK:8600010,COOK:Orland Precinct 10,140,140
COOK:8600011,COOK:Orland Precinct 11,131,131
COOK:8600012,COOK:Orland Precinct 12,41,41
COOK:8600013,COOK:Orland Precinct 13,187,187
COOK:8600014,COOK:Orland Precinct 14,131,131
COOK:8600015,COOK:Orland Precinct 15,155,155
COOK:8600016,COOK:Orland Precinct 16,150,150
COOK:8600017,COOK:Orland Precinct 17,94,94
COOK:8600018,COOK:Orland Precinct 18,168,168
COOK:8600019,COOK:Orland Precinct 19,94,94
COOK:8600020,COOK:Orland Precinct 20,189,189
COOK:8600021,COOK:Orland Precinct 21,170,170
COOK:8600022,COOK:Orland Precinct 22,181,181
COOK:8600023,COOK:Orland Precinct 23,222,222
COOK:8600024,COOK:Orland Precinct 24,214,214
COOK:8600025,COOK:Orland Precinct 25,198,198
COOK:8600026,COOK:Orland Precinct 26,210,210
COOK:8600027,COOK:Orland Precinct 27,146,146
COOK:8600028,COOK:Orland Precinct 28,112,112
COOK:8600029,COOK:Orland Precinct 29,233,233
COOK:8600030,COOK:Orland Precinct 30,92,92
COOK:8600031,COOK:Orland Precinct 31,88,88
COOK:8600032,COOK:Orland Precinct 32,202,202
COOK:8600033,COOK:Orland Precinct 33,209,209
COOK:8600034,COOK:Orland Precinct 34,129,129
COOK:8600035,COOK:Orland Precinct 35,229,229
COOK:8600036,COOK:Orland Precinct 36,83,83
COOK:8600037,COOK:Orland Precinct 37,139,139
COOK:8600038,COOK:Orland Precinct 38,50,50
COOK:8600039,COOK:Orland Precinct 39,106,106
COOK:8600040,COOK:Orland Precinct 40,140,140
COOK:8600041,COOK:Orland Precinct 41,98,98
COOK:8600042,COOK:Orland Precinct 42,220,220
COOK:8600043,COOK:Orland Precinct 43,92,92
COOK:8600044,COOK:Orland Precinct 44,126,126
COOK:8600045,COOK:Orland Precinct 45,202,202
COOK:8600046,COOK:Orland Precinct 46,87,87
COOK:8600047,COOK:Orland Precinct 47,178,178
COOK:8600048,COOK:Orland Precinct 48,131,131
COOK:8600049,COOK:Orland Precinct 49,189,189
COOK:8600050,COOK:Orland Precinct 50,97,97
COOK:8600051,COOK:Orland Precinct 51,159,159
COOK:8600052,COOK:Orland Precinct 52,116,116
COOK:8600053,COOK:Orland Precinct 53,132,132
COOK:8600054,COOK:Orland Precinct 54,132,132
COOK:8600055,COOK:Orland Precinct 55,104,104
COOK:8600056,COOK:Orland Precinct 56,110,110
COOK:8600057,COOK:Orland Precinct 57,129,129
COOK:8600058,COOK:Orland Precinct 58,115,115
COOK:8600059,COOK:Orland Precinct 59,141,141
COOK:8600060,COOK:Orland Precinct 60,109,109
COOK:8600061,COOK:Orland Precinct 61,118,118
COOK:8600062,COOK:Orland Precinct 62,129,129
COOK:8700001,COOK:Palatine Precinct 1,149,149
COOK:8700002,COOK:Palatine Precinct 2,272,272
COOK:8700003,COOK:Palatine Precinct 3,104,104
COOK:8700004,COOK:Palatine Precinct 4,86,86
COOK:8700005,COOK:Palatine Precinct 5,258,258
COOK:8700006,COOK:Palatine Precinct 6,239,239
COOK:8700007,COOK:Palatine Precinct 7,124,124
COOK:8700008,COOK:Palatine Precinct 8,242,242
COOK:8700009,COOK:Palatine Precinct 9,159,159
COOK:8700010,COOK:Palatine Precinct 10,149,149
COOK:8700011,COOK:Palatine Precinct 11,121,121
COOK:8700012,COOK:Palatine Precinct 12,173,173
COOK:8700013,COOK:Palatine Precinct 13,148,148
COOK:8700014,COOK:Palatine Precinct 14,178,178
COOK:8700015,COOK:Palatine Precinct 15,203,203
COOK:8700016,COOK:Palatine Precinct 16,89,89
COOK:8700017,COOK:Palatine Precinct 17,215,215
COOK:8700018,COOK:Palatine Precinct 18,275,275
COOK:8700019,COOK:Palatine Precinct 19,194,194
COOK:8700020,COOK:Palatine Precinct 20,79,79
COOK:8700021,COOK:Palatine Precinct 21,246,246
COOK:8700022,COOK:Palatine Precinct 22,174,174
COOK:8700023,COOK:Palatine Precinct 23,89,89
COOK:8700024,COOK:Palatine Precinct 24,225,225
COOK:8700025,COOK:Palatine Precinct 25,205,205
COOK:8700026,COOK:Palatine Precinct 26,226,226
COOK:8700027,COOK:Palatine Precinct 27,236,236
COOK:8700028,COOK:Palatine Precinct 28,118,118
COOK:8700029,COOK:Palatine Precinct 29,230,230
COOK:8700030,COOK:Palatine Precinct 30,124,124
COOK:8700031,COOK:Palatine Precinct 31,138,138
COOK:8700032,COOK:Palatine Precinct 32,144,144
COOK:8700033,COOK:Palatine Precinct 33,76,76
COOK:8700034,COOK:Palatine Precinct 34,195,195
COOK:8700035,COOK:Palatine Precinct 35,232,232
COOK:8700036,COOK:Palatine Precinct 36,164,164
COOK:8700037,COOK:Palatine Precinct 37,209,209
COOK:8700038,COOK:Palatine Precinct 38,251,251
COOK:8700039,COOK:Palatine Precinct 39,230,230
COOK:8700040,COOK:Palatine Precinct 40,235,235
COOK:8700041,COOK:Palatine Precinct 41,225,225
COOK:8700042,COOK:Palatine Precinct 42,246,246
COOK:8700043,COOK:Palatine Precinct 43,164,164
COOK:8700044,COOK:Palatine Precinct 44,135,135
COOK:8700045,COOK:Palatine Precinct 45,167,167
COOK:8700046,COOK:Palatine Precinct 46,213,213
COOK:8700047,COOK:Palatine Precinct 47,203,203
COOK:8700048,COOK:Palatine Precinct 48,161,161
COOK:8700049,COOK:Palatine Precinct 49,92,92
COOK:8700050,COOK:Palatine Precinct 50,237,237
COOK:8700051,COOK:Palatine Precinct 51,90,90
COOK:8700052,COOK:Palatine Precinct 52,165,165
COOK:8700053,COOK:Palatine Precinct 53,155,155
COOK:8700054,COOK:Palatine Precinct 54,271,271
COOK:8700055,COOK:Palatine Precinct 55,228,228
COOK:8700056,COOK:Palatine Precinct 56,171,171
COOK:8700057,COOK:Palatine Precinct 57,267,267
COOK:8700058,COOK:Palatine Precinct 58,148,148
COOK:8700059,COOK:Palatine Precinct 59,289,289
COOK:8700060,COOK:Palatine Precinct 60,164,164
COOK:8700061,COOK:Palatine Precinct 61,88,88
COOK:8700062,COOK:Palatine Precinct 62,178,178
COOK:8700063,COOK:Palatine Precinct 63,178,178
COOK:8700064,COOK:Palatine Precinct 64,135,135
COOK:8700065,COOK:Palatine Precinct 65,176,176
COOK:8800001,COOK:Palos Precinct 1,77,77
COOK:8800002,COOK:Palos Precinct 2,84,84
COOK:8800003,COOK:Palos Precinct 3,127,127
COOK:8800004,COOK:Palos Precinct 4,96,96
COOK:8800005,COOK:Palos Precinct 5,93,93
COOK:8800006,COOK:Palos Precinct 6,39,39
COOK:8800007,COOK:Palos Precinct 7,149,149
COOK:8800008,COOK:Palos Precinct 8,165,165
COOK:8800009,COOK:Palos Precinct 9,195,195
COOK:8800010,COOK:Palos Precinct 10,174,174
COOK:8800011,COOK:Palos Precinct 11,117,117
COOK:8800012,COOK:Palos Precinct 12,104,104
COOK:8800013,COOK:Palos Precinct 13,165,165
COOK:8800014,COOK:Palos Precinct 14,99,99
COOK:8800015,COOK:Palos Precinct 15,273,273
COOK:8800016,COOK:Palos Precinct 16,196,196
COOK:8800017,COOK:Palos Precinct 17,138,138
COOK:8800018,COOK:Palos Precinct 18,150,150
COOK:8800019,COOK:Palos Precinct 19,160,160
COOK:8800020,COOK:Palos Precinct 20,151,151
COOK:8800021,COOK:Palos Precinct 21,88,88
COOK:8800022,COOK:Palos Precinct 22,46,46
COOK:8800023,COOK:Palos Precinct 23,101,101
COOK:8800024,COOK:Palos Precinct 24,257,257
COOK:8800025,COOK:Palos Precinct 25,155,155
COOK:8800026,COOK:Palos Precinct 26,82,82
COOK:8800027,COOK:Palos Precinct 27,153,153
COOK:8800028,COOK:Palos Precinct 28,79,79
COOK:8800029,COOK:Palos Precinct 29,137,137
COOK:8800030,COOK:Palos Precinct 30,175,175
COOK:8800031,COOK:Palos Precinct 31,125,125
COOK:8800032,COOK:Palos Precinct 32,64,64
COOK:8800033,COOK:Palos Precinct 33,143,143
COOK:8800034,COOK:Palos Precinct 34,71,71
COOK:8800035,COOK:Palos Precinct 35,177,177
COOK:8900001,COOK:Proviso Precinct 1,168,168
COOK:8900002,COOK:Proviso Precinct 2,139,139
COOK:8900003,COOK:Proviso Precinct 3,245,245
COOK:8900004,COOK:Proviso Precinct 4,203,203
COOK:8900005,COOK:Proviso Precinct 5,233,233
COOK:8900006,COOK:Proviso Precinct 6,279,279
COOK:8900007,COOK:Proviso Precinct 7,86,86
COOK:8900008,COOK:Proviso Precinct 8,245,245
COOK:8900009,COOK:Proviso Precinct 9,180,180
COOK:8900010,COOK:Proviso Precinct 10,89,89
COOK:8900011,COOK:Proviso Precinct 11,118,118
COOK:8900012,COOK:Proviso Precinct 12,177,177
COOK:8900013,COOK:Proviso Precinct 13,181,181
COOK:8900014,COOK:Proviso Precinct 14,84,84
COOK:8900015,COOK:Proviso Precinct 15,107,107
COOK:8900016,COOK:Proviso Precinct 16,176,176
COOK:8900017,COOK:Proviso Precinct 17,265,265
COOK:8900018,COOK:Proviso Precinct 18,276,276
COOK:8900019,COOK:Proviso Precinct 19,255,255
COOK:8900020,COOK:Proviso Precinct 20,291,291
COOK:8900021,COOK:Proviso Precinct 21,274,274
COOK:8900022,COOK:Proviso Precinct 22,165,165
COOK:8900023,COOK:Proviso Precinct 23,299,299
COOK:8900024,COOK:Proviso Precinct 24,321,321
COOK:8900025,COOK:Proviso Precinct 25,262,262
COOK:8900026,COOK:Proviso Precinct 26,302,302
COOK:8900027,COOK:Proviso Precinct 27,249,249
COOK:8900028,COOK:Proviso Precinct 28,250,250
COOK:8900029,COOK:Proviso Precinct 29,320,320
COOK:8900030,COOK:Proviso Precinct 30,195,195
COOK:8900031,COOK:Proviso Precinct 31,97,97
COOK:8900032,COOK:Proviso Precinct 32,402,402
COOK:8900033,COOK:Proviso Precinct 33,307,307
COOK:8900034,COOK:Proviso Precinct 34,413,413
COOK:8900035,COOK:Proviso Precinct 35,288,288
COOK:8900036,COOK:Proviso Precinct 36,238,238
