JoinField,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,WRITE-IN,Total Voters
MCHENRY:ALD 1,6,10,45,43,1,0,1,2,0,2,0,110
MCHENRY:ALG 1,13,7,74,58,0,1,0,1,0,0,0,154
MCHENRY:ALG 10,8,11,51,45,2,0,0,0,1,0,0,118
MCHENRY:ALG 11,5,6,59,53,0,2,1,2,1,0,0,129
MCHENRY:ALG 12,3,12,65,47,0,3,1,2,2,1,1,137
MCHENRY:ALG 13,3,10,59,48,1,4,0,0,1,1,0,127
MCHENRY:ALG 14,13,15,70,62,1,1,2,1,1,1,0,167
MCHENRY:ALG 15,5,11,43,33,0,0,0,0,0,0,1,93
MCHENRY:ALG 16,3,18,59,45,2,0,0,0,2,1,0,130
MCHENRY:ALG 17,4,13,35,59,1,0,2,0,2,2,0,118
MCHENRY:ALG 18,5,16,53,105,2,0,2,2,1,0,0,186
MCHENRY:ALG 19,5,7,46,35,0,1,1,0,1,0,0,96
MCHENRY:ALG 2,8,28,99,72,2,2,1,0,2,3,0,217
MCHENRY:ALG 20,7,14,60,57,0,0,0,1,2,0,0,141
MCHENRY:ALG 21,14,10,58,78,0,1,0,1,0,1,0,163
MCHENRY:ALG 22,11,16,79,69,0,1,0,1,0,0,0,177
MCHENRY:ALG 23,1,15,25,57,0,1,0,1,3,0,0,103
MCHENRY:ALG 24,2,16,30,26,0,1,0,1,0,1,0,77
MCHENRY:ALG 25,5,11,36,42,1,1,1,1,0,5,0,103
MCHENRY:ALG 26,1,11,41,37,0,0,0,0,0,0,0,90
MCHENRY:ALG 27,3,6,47,57,0,1,0,2,1,1,0,118
MCHENRY:ALG 28,14,26,93,90,0,1,2,0,2,0,0,228
MCHENRY:ALG 29,9,12,34,40,0,3,1,0,0,3,0,102
MCHENRY:ALG 3,5,18,43,70,0,2,1,0,2,0,0,141
MCHENRY:ALG 30,5,10,51,35,0,1,3,1,0,1,0,107
MCHENRY:ALG 31,6,27,60,45,1,0,0,0,0,0,0,139
MCHENRY:ALG 32,4,10,44,71,0,2,2,1,2,0,0,136
MCHENRY:ALG 33,8,28,56,73,1,4,2,0,2,2,0,176
MCHENRY:ALG 34,7,14,43,60,0,2,4,1,1,2,0,134
MCHENRY:ALG 35,11,4,51,48,1,2,0,0,2,0,0,119
MCHENRY:ALG 36,3,14,40,57,1,2,1,1,2,0,0,121
MCHENRY:ALG 37,4,13,57,24,0,0,0,1,2,2,1,104
MCHENRY:ALG 38,4,10,61,47,0,1,0,0,1,1,0,125
MCHENRY:ALG 39,8,18,52,39,0,0,2,2,1,2,1,125
MCHENRY:ALG 4,8,13,53,67,1,3,2,0,2,0,1,150
MCHENRY:ALG 40,5,11,51,47,0,1,2,0,0,1,1,119
MCHENRY:ALG 41,6,9,56,53,0,4,2,1,1,0,0,132
MCHENRY:ALG 42,8,14,64,83,0,1,0,1,0,1,1,173
MCHENRY:ALG 43,2,8,33,42,0,0,0,0,0,0,0,85
MCHENRY:ALG 44,6,6,41,48,0,1,0,0,1,3,0,106
MCHENRY:ALG 45,10,15,50,75,0,2,0,0,2,0,0,154
MCHENRY:ALG 46,6,17,90,64,0,0,0,1,2,0,0,180
MCHENRY:ALG 47,6,9,50,77,0,0,2,1,0,1,0,146
MCHENRY:ALG 48,4,22,60,64,0,3,0,3,1,0,0,157
MCHENRY:ALG 49,2,9,55,48,0,1,2,3,0,2,0,122
MCHENRY:ALG 5,10,15,73,55,0,2,1,0,1,1,1,159
MCHENRY:ALG 50,11,11,83,60,1,0,0,1,0,0,0,167
MCHENRY:ALG 51,5,25,69,63,2,1,1,0,0,1,0,167
MCHENRY:ALG 52,7,21,62,56,0,1,2,5,1,3,0,158
MCHENRY:ALG 53,6,17,53,35,1,3,2,0,0,0,0,117
MCHENRY:ALG 54,4,17,40,44,0,1,0,0,4,3,0,113
MCHENRY:ALG 55,4,19,82,59,0,1,3,1,3,0,0,172
MCHENRY:ALG 56,4,14,67,79,0,3,0,1,0,2,1,171
MCHENRY:ALG 57,8,14,58,71,2,0,0,0,1,0,0,154
MCHENRY:ALG 58,8,25,67,60,0,1,2,1,0,0,0,164
MCHENRY:ALG 59,6,15,68,57,3,2,2,0,0,0,0,153
MCHENRY:ALG 6,9,20,46,59,0,2,1,1,3,1,0,142
MCHENRY:ALG 60,5,13,57,57,0,0,0,1,1,2,0,136
MCHENRY:ALG 61,5,10,50,71,1,0,2,1,2,5,0,147
MCHENRY:ALG 62,6,11,42,78,0,1,1,2,1,2,0,144
MCHENRY:ALG 63,3,18,75,64,0,0,0,1,0,0,0,161
MCHENRY:ALG 7,11,15,40,47,1,1,0,0,4,0,0,119
MCHENRY:ALG 8,9,20,80,69,0,2,0,2,2,1,2,187
MCHENRY:ALG 9,3,13,60,74,1,1,1,1,0,1,0,155
MCHENRY:BUR 1,0,7,30,38,0,0,1,0,1,0,0,77
MCHENRY:BUR 2,2,1,26,44,0,0,1,0,0,0,0,74
MCHENRY:BUR 3,5,6,43,36,0,0,0,0,0,1,1,92
MCHENRY:BUR 4,1,13,14,50,0,0,0,0,0,0,0,78
MCHENRY:CHE 1,8,8,28,36,0,2,1,0,3,1,0,87
MCHENRY:CHE 2,3,9,20,23,0,1,0,0,0,2,1,59
MCHENRY:CHE 3,12,5,22,19,0,0,2,0,0,1,0,61
MCHENRY:CHE 4,5,5,25,23,0,1,1,0,1,0,0,61
MCHENRY:CHE 5,6,11,22,34,0,0,0,1,0,2,2,78
MCHENRY:COR 1,2,11,40,47,0,0,0,0,0,1,0,101
MCHENRY:COR 2,3,9,20,36,0,3,1,0,0,0,0,72
MCHENRY:COR 3,1,8,31,54,0,0,1,2,1,0,0,98
MCHENRY:DOR 1,4,15,58,32,1,0,1,1,1,0,0,113
MCHENRY:DOR 10,6,10,34,23,0,2,1,1,0,0,0,77
MCHENRY:DOR 11,5,9,49,58,0,1,2,0,1,0,0,125
MCHENRY:DOR 12,4,10,46,38,0,1,0,0,0,0,0,99
MCHENRY:DOR 13,9,10,55,64,3,2,3,0,1,1,0,148
MCHENRY:DOR 14,2,17,70,45,0,1,0,0,3,4,0,142
MCHENRY:DOR 2,12,18,52,42,0,1,0,2,2,2,0,131
MCHENRY:DOR 3,11,14,42,50,0,1,1,1,1,1,0,122
MCHENRY:DOR 4,12,12,82,50,1,2,3,0,4,1,0,167
MCHENRY:DOR 5,6,16,75,73,0,4,4,0,0,1,0,179
MCHENRY:DOR 6,3,17,46,51,1,3,0,1,4,4,0,130
MCHENRY:DOR 7,5,21,72,55,0,2,0,0,0,0,0,155
MCHENRY:DOR 8,10,22,74,48,1,0,0,0,1,0,0,156
MCHENRY:DOR 9,9,4,42,32,1,1,0,0,1,1,0,91
MCHENRY:DUN 1,2,13,41,20,1,2,1,0,0,0,0,80
MCHENRY:DUN 2,7,7,32,38,0,0,0,0,0,1,0,85
MCHENRY:GRA 1,2,7,38,51,0,0,0,0,2,2,0,102
MCHENRY:GRA 10,2,10,38,38,0,1,0,1,0,0,0,90
MCHENRY:GRA 11,3,3,41,26,0,1,0,1,0,2,0,77
MCHENRY:GRA 12,14,9,47,29,0,0,0,1,0,2,1,103
MCHENRY:GRA 13,5,16,46,62,0,1,2,0,0,0,0,132
MCHENRY:GRA 14,5,12,47,52,2,0,1,1,1,0,0,121
MCHENRY:GRA 15,2,24,45,145,0,1,1,3,0,0,0,221
MCHENRY:GRA 16,1,8,47,51,0,1,0,0,0,1,0,109
MCHENRY:GRA 17,3,14,36,39,1,1,0,0,0,0,1,95
MCHENRY:GRA 18,5,14,40,68,0,0,1,0,0,1,0,129
MCHENRY:GRA 19,1,13,37,35,0,0,1,0,0,0,0,87
MCHENRY:GRA 2,9,20,66,60,0,1,2,2,1,0,0,161
MCHENRY:GRA 20,7,5,41,40,0,0,2,0,1,0,0,96
MCHENRY:GRA 21,4,15,46,47,0,0,1,0,2,0,0,115
MCHENRY:GRA 22,5,10,29,22,0,4,2,0,0,0,0,72
MCHENRY:GRA 23,7,7,44,34,1,0,0,1,0,1,0,95
MCHENRY:GRA 24,1,5,37,38,0,0,0,0,0,0,0,81
MCHENRY:GRA 25,8,9,37,42,0,0,0,0,0,2,0,98
MCHENRY:GRA 26,5,18,47,190,1,1,2,1,0,1,0,266
MCHENRY:GRA 27,6,18,38,111,0,1,2,1,0,2,0,179
MCHENRY:GRA 28,5,9,38,28,0,2,2,0,1,0,0,85
MCHENRY:GRA 29,6,4,62,41,0,0,0,0,0,0,0,113
MCHENRY:GRA 3,4,16,74,64,2,1,0,0,1,2,0,164
MCHENRY:GRA 30,3,12,25,69,0,2,2,0,1,0,1,115
MCHENRY:GRA 31,8,10,58,41,2,0,1,1,1,0,0,122
MCHENRY:GRA 32,2,19,34,35,0,0,0,0,0,0,0,90
MCHENRY:GRA 33,4,12,30,46,0,3,0,1,0,0,0,96
MCHENRY:GRA 34,11,2,33,32,0,1,1,0,2,1,0,83
MCHENRY:GRA 35,3,10,42,31,0,4,1,1,0,0,0,92
MCHENRY:GRA 36,4,6,36,25,0,1,0,0,0,1,0,73
MCHENRY:GRA 37,3,5,41,31,0,0,0,1,1,1,0,83
MCHENRY:GRA 38,6,20,41,68,1,0,2,0,0,1,0,139
MCHENRY:GRA 4,9,19,49,63,1,1,1,0,1,0,0,144
MCHENRY:GRA 5,1,4,34,32,0,2,0,0,1,0,0,74
MCHENRY:GRA 6,4,15,43,45,0,1,0,0,0,0,0,108
MCHENRY:GRA 7,7,9,53,82,1,3,0,0,0,1,0,156
MCHENRY:GRA 8,9,15,53,36,0,1,0,0,0,0,0,114
MCHENRY:GRA 9,7,6,38,55,3,0,0,1,0,6,0,116
MCHENRY:GRE 1,4,5,22,37,0,0,0,0,0,0,1,69
MCHENRY:GRE 10,2,13,29,37,1,2,1,0,0,0,0,85
MCHENRY:GRE 2,10,16,51,55,0,1,0,0,2,0,0,135
MCHENRY:GRE 3,7,14,44,44,1,1,1,1,2,0,0,115
MCHENRY:GRE 4,7,6,56,50,3,1,1,0,0,1,0,125
MCHENRY:GRE 5,5,13,30,36,0,2,0,2,1,0,0,89
MCHENRY:GRE 6,4,10,46,62,0,0,5,0,0,0,0,127
MCHENRY:GRE 7,1,5,16,18,0,2,0,0,0,0,0,42
MCHENRY:GRE 8,9,7,30,42,0,0,0,0,1,0,0,89
MCHENRY:GRE 9,8,11,33,37,0,0,0,0,0,0,0,89
MCHENRY:HAR 1,3,15,12,35,0,0,0,0,0,1,0,66
MCHENRY:HAR 2,5,8,36,45,0,0,1,0,1,0,0,96
MCHENRY:HEB 1,2,9,34,41,0,1,0,0,0,0,0,87
MCHENRY:HEB 2,4,16,46,51,1,0,0,0,0,0,0,118
MCHENRY:MAR 1,9,7,25,28,0,0,1,1,0,0,0,71
MCHENRY:MAR 2,3,11,21,38,0,1,1,0,0,0,0,75
MCHENRY:MAR 3,3,6,28,50,1,1,0,1,3,0,0,93
MCHENRY:MAR 4,2,6,16,37,1,1,0,1,0,1,0,65
MCHENRY:MAR 5,4,6,22,48,0,1,0,0,0,1,1,83
MCHENRY:MCH 1,2,6,24,46,1,0,1,1,0,0,0,81
MCHENRY:MCH 10,1,12,50,46,0,0,0,0,1,0,0,110
MCHENRY:MCH 11,4,5,28,32,0,0,0,0,0,0,0,69
MCHENRY:MCH 12,2,5,16,41,0,0,1,0,0,3,0,68
MCHENRY:MCH 13,4,15,41,49,0,0,0,2,1,2,0,114
MCHENRY:MCH 14,5,12,32,38,0,0,1,0,0,1,0,89
MCHENRY:MCH 15,8,3,40,33,0,1,0,1,0,0,0,86
MCHENRY:MCH 16,3,9,25,28,2,1,3,0,1,0,0,72
MCHENRY:MCH 17,1,6,19,35,0,0,0,1,0,0,0,62
MCHENRY:MCH 18,6,7,22,37,0,0,0,0,1,0,0,73
MCHENRY:MCH 19,1,5,12,38,0,0,0,1,0,0,0,57
MCHENRY:MCH 2,4,12,31,22,0,1,1,0,0,0,0,71
MCHENRY:MCH 20,3,8,30,32,0,0,1,1,1,2,0,78
MCHENRY:MCH 21,2,7,17,34,1,0,1,0,1,0,0,63
MCHENRY:MCH 22,5,12,36,49,0,0,0,0,0,0,0,102
MCHENRY:MCH 23,7,12,48,61,0,0,0,0,0,0,0,128
MCHENRY:MCH 24,5,9,30,43,2,0,1,1,0,0,0,91
MCHENRY:MCH 25,4,12,40,54,0,4,0,0,0,0,0,114
MCHENRY:MCH 26,9,17,39,69,0,0,1,1,0,1,0,137
MCHENRY:MCH 27,2,8,26,26,0,0,0,0,0,0,0,62
MCHENRY:MCH 28,14,13,28,42,0,0,0,1,0,1,0,99
MCHENRY:MCH 29,1,2,23,24,0,2,0,0,0,0,0,52
MCHENRY:MCH 3,4,7,27,40,1,0,2,2,0,0,0,83
MCHENRY:MCH 30,3,12,24,27,0,0,0,0,0,1,0,67
MCHENRY:MCH 31,1,8,17,17,0,1,0,1,0,0,0,45
MCHENRY:MCH 32,5,10,31,40,0,0,0,0,0,0,0,86
MCHENRY:MCH 33,5,13,35,43,0,2,1,0,0,2,0,101
MCHENRY:MCH 34,3,4,30,26,0,1,0,0,0,1,0,65
MCHENRY:MCH 4,7,15,50,47,0,0,1,0,0,0,0,120
MCHENRY:MCH 5,5,7,37,29,0,0,0,0,1,0,0,79
MCHENRY:MCH 6,3,11,28,23,0,0,0,3,1,0,1,70
MCHENRY:MCH 7,3,5,34,47,0,1,1,0,0,0,0,91
MCHENRY:MCH 8,9,10,38,57,1,1,1,0,0,0,0,117
MCHENRY:MCH 9,0,12,55,25,1,2,1,0,0,0,0,96
MCHENRY:NUN 1,8,4,36,60,0,0,0,0,1,0,0,109
MCHENRY:NUN 10,3,13,45,57,0,0,1,2,2,0,0,123
MCHENRY:NUN 11,7,25,78,74,0,1,1,2,0,0,0,188
MCHENRY:NUN 12,3,14,63,70,0,0,1,1,1,0,0,153
MCHENRY:NUN 13,2,17,60,34,1,0,0,1,0,0,0,115
MCHENRY:NUN 14,5,19,48,47,0,1,0,0,0,0,0,120
MCHENRY:NUN 15,3,10,41,41,0,0,2,0,1,0,1,99
MCHENRY:NUN 16,0,8,39,48,1,1,0,0,0,2,0,99
MCHENRY:NUN 17,6,14,58,49,0,2,2,0,1,0,0,132
MCHENRY:NUN 18,3,12,42,42,0,0,0,1,0,2,0,102
MCHENRY:NUN 19,7,16,59,41,0,0,0,1,3,1,0,128
MCHENRY:NUN 2,7,5,49,55,1,0,0,0,0,2,0,119
MCHENRY:NUN 20,2,12,45,42,0,1,0,0,0,0,1,103
MCHENRY:NUN 21,3,16,52,57,0,1,0,0,1,4,0,134
MCHENRY:NUN 22,6,6,52,46,0,1,1,1,2,3,0,118
MCHENRY:NUN 23,2,9,21,38,0,1,0,0,0,0,0,71
MCHENRY:NUN 24,5,8,27,29,0,1,0,0,1,0,0,71
MCHENRY:NUN 25,1,7,19,22,0,1,0,0,0,1,0,51
MCHENRY:NUN 26,1,5,14,20,0,0,0,0,0,0,1,41
MCHENRY:NUN 27,4,16,21,42,1,0,1,0,1,1,0,87
MCHENRY:NUN 28,6,6,28,39,4,1,0,0,0,0,0,84
MCHENRY:NUN 29,6,11,32,53,0,1,1,0,0,0,1,105
MCHENRY:NUN 3,2,15,38,77,0,3,0,1,0,2,0,138
MCHENRY:NUN 4,6,5,46,36,1,1,0,0,0,0,0,95
MCHENRY:NUN 5,6,13,30,37,0,2,1,0,2,0,0,91
MCHENRY:NUN 6,3,4,40,31,0,1,0,0,0,1,0,80
MCHENRY:NUN 7,8,7,61,47,0,1,0,1,2,0,0,127
MCHENRY:NUN 8,9,6,32,51,1,0,0,0,1,1,0,101
MCHENRY:NUN 9,7,13,55,44,0,1,1,0,1,0,0,122
MCHENRY:RIC 1,11,5,39,66,0,0,0,2,0,0,0,123
MCHENRY:RIC 2,8,10,34,38,1,0,0,0,0,0,0,91
MCHENRY:RIC 3,2,7,34,45,0,0,1,0,0,0,0,89
MCHENRY:RIC 4,2,8,36,42,0,1,1,0,1,0,0,91
MCHENRY:RIC 5,2,5,24,24,2,0,0,1,0,0,0,58
MCHENRY:RIC 6,2,4,33,34,1,1,0,0,1,0,0,76
MCHENRY:RIL 1,6,12,21,43,0,3,0,0,0,0,0,85
MCHENRY:RIL 2,6,8,31,55,0,1,1,0,0,1,0,103
MCHENRY:SEN 1,9,10,33,22,0,0,2,0,0,1,0,77
MCHENRY:SEN 2,4,7,29,33,0,0,0,1,0,0,0,74
MCHENRY:SEN 3,3,12,23,48,0,0,0,0,0,0,0,86
,1165,2550,9644,10686,85,202,155,116,150,153,25,24931
