FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
Downers Grove 068,1022,19,21,24,0,64,5,3,7,0,15,9,10,18,0,37,23,19,22,0,64,180
Downers Grove 069,1245,9,25,29,0,63,4,9,6,0,19,8,17,21,0,46,16,20,19,0,55,183
Downers Grove 070,901,14,10,11,0,35,4,1,4,0,9,12,13,14,0,39,22,4,21,0,47,130
Downers Grove 071,971,13,12,25,0,50,2,4,6,0,12,23,6,18,0,47,16,4,18,0,38,147
Downers Grove 072,1068,8,15,22,0,45,4,6,6,0,16,11,8,21,0,40,12,11,28,0,51,152
Downers Grove 073,1190,6,10,26,0,42,2,0,8,0,10,4,13,23,0,40,5,12,17,0,34,126
Downers Grove 074,1004,10,19,21,0,50,3,7,4,0,14,9,24,18,0,51,8,14,32,0,54,169
Downers Grove 075,907,7,8,21,0,36,2,1,3,0,6,3,7,9,0,19,7,10,15,0,32,93
Downers Grove 076,1175,13,4,22,0,39,4,3,6,0,13,12,9,12,0,33,11,16,19,0,46,131
Downers Grove 077,1133,11,18,24,0,53,6,8,7,0,21,13,18,17,0,48,7,24,29,0,60,182
Downers Grove 078,1279,11,15,31,0,57,2,6,10,0,18,13,15,14,0,42,21,14,40,0,75,192
Downers Grove 079,961,4,14,19,1,38,5,5,1,0,11,14,10,14,0,38,23,25,17,0,65,152
Downers Grove 080,1087,8,14,16,0,38,2,13,6,0,21,12,19,15,0,46,10,18,27,1,56,161
Downers Grove 081,822,3,3,20,0,26,1,4,4,0,9,5,9,12,0,26,7,12,16,0,35,96
Downers Grove 082,988,10,8,16,0,34,3,4,14,0,21,11,16,20,0,47,13,14,29,0,56,158
Downers Grove 083,1290,5,13,29,0,47,1,5,6,0,12,7,13,18,0,38,6,24,33,0,63,160
Downers Grove 084,994,7,10,18,0,35,4,4,6,0,14,4,3,16,0,23,12,12,27,0,51,123
Downers Grove 085,1266,9,19,31,0,59,6,13,5,0,24,9,18,27,0,54,13,27,35,0,75,212
Downers Grove 086,1206,10,12,12,0,34,4,5,13,0,22,9,8,12,0,29,18,20,29,0,67,152
Downers Grove 087,1165,12,12,18,0,42,2,7,11,0,20,14,12,26,1,53,24,26,31,2,83,198
Downers Grove 088,775,9,5,23,0,37,2,3,6,0,11,10,10,11,0,31,9,12,15,0,36,115
Downers Grove 089,1151,10,9,21,0,40,2,3,8,0,13,15,15,32,0,62,9,19,33,0,61,176
Downers Grove 090,1157,9,19,19,0,47,3,5,8,0,16,7,23,28,0,58,10,38,23,0,71,192
Downers Grove 091,924,10,18,27,0,55,5,4,5,0,14,8,12,6,0,26,11,11,15,0,37,132
Downers Grove 092,963,8,14,28,0,50,1,12,4,0,17,4,7,21,0,32,7,9,29,0,45,144
Downers Grove 093,1173,11,11,44,0,66,4,2,5,0,11,3,13,25,0,41,6,2,27,0,35,153
Downers Grove 094,1235,4,10,23,0,37,7,12,7,0,26,19,14,25,0,58,19,25,28,0,72,193
Downers Grove 095,845,13,17,19,0,49,2,6,4,0,12,6,5,14,0,25,11,6,25,0,42,128
Downers Grove 096,1056,11,11,29,0,51,0,5,1,0,6,0,7,12,0,19,6,11,21,0,38,114
Downers Grove 097,982,10,6,11,0,27,2,4,5,0,11,7,19,11,0,37,13,24,28,0,65,140
Downers Grove 098,1136,11,8,16,0,35,2,1,3,0,6,8,9,13,0,30,9,14,18,0,41,112
Downers Grove 099,1136,11,14,28,0,53,2,5,8,0,15,6,7,11,0,24,6,2,20,0,28,120
Downers Grove 100,1031,8,16,32,0,56,3,3,11,0,17,4,11,18,0,33,1,12,10,0,23,129
Downers Grove 101,1189,9,16,24,0,49,3,4,7,0,14,6,12,16,0,34,4,14,30,0,48,145
Downers Grove 102,1182,2,12,12,0,26,0,3,5,0,8,1,10,14,0,25,7,16,25,0,48,107
Downers Grove 103,887,6,7,25,0,38,1,2,4,0,7,3,6,12,0,21,8,11,12,0,31,97
Lisle 001,1145,13,12,30,0,55,4,8,7,0,19,15,21,18,0,54,17,25,21,0,63,191
Lisle 002,986,23,14,26,0,63,4,4,4,0,12,12,13,13,0,38,4,6,26,0,36,149
Lisle 003,1160,18,11,26,0,55,4,9,12,0,25,15,15,26,0,56,14,7,15,0,36,172
Lisle 004,1172,15,16,18,0,49,8,19,14,0,41,22,21,30,0,73,24,16,34,0,74,237
Lisle 005,1216,13,16,24,0,53,4,10,5,0,19,28,43,22,0,93,8,19,13,0,40,205
Lisle 006,1316,12,18,39,0,69,11,5,7,0,23,16,13,29,1,59,10,18,36,0,64,215
Lisle 007,1161,9,14,21,0,44,3,4,8,0,15,13,16,28,0,57,13,4,20,0,37,153
Lisle 008,1161,8,12,33,0,53,6,8,9,0,23,11,18,34,0,63,11,16,38,0,65,204
Lisle 009,1249,23,19,19,0,61,9,2,8,0,19,16,17,24,0,57,32,20,31,0,83,220
Lisle 010,1279,25,20,22,0,67,4,5,7,0,16,16,36,21,0,73,33,26,32,0,91,247
Lisle 011,1014,10,11,20,0,41,6,4,6,0,16,25,9,23,0,57,16,15,40,0,71,185
Lisle 012,1273,6,7,19,0,32,42,32,20,0,94,33,14,29,0,76,15,19,35,0,69,271
Lisle 013,1002,14,21,22,0,57,6,4,9,0,19,24,10,19,0,53,7,12,14,0,33,162
Lisle 014,851,11,7,16,0,34,0,5,5,0,10,9,11,16,0,36,9,19,20,0,48,128
Lisle 015,887,6,12,21,0,39,3,2,10,0,15,11,12,25,0,48,6,12,12,0,30,132
Lisle 016,1191,13,19,16,0,48,4,10,13,0,27,15,17,18,0,50,18,35,40,2,95,220
Lisle 017,981,22,11,24,0,57,5,7,5,0,17,31,23,24,0,78,16,10,21,0,47,199
Lisle 018,1123,7,22,23,0,52,1,6,10,0,17,24,40,20,0,84,25,19,22,0,66,219
Lisle 019,1037,6,21,19,0,46,3,7,4,0,14,32,15,21,0,68,27,21,32,0,80,208
Lisle 020,1229,12,9,32,0,53,7,9,8,0,24,28,28,56,0,112,17,19,33,0,69,258
Lisle 021,1113,7,16,21,0,44,4,14,12,0,30,15,19,47,0,81,13,26,29,0,68,223
Lisle 022,910,2,17,28,0,47,4,6,16,0,26,10,14,26,0,50,14,12,37,0,63,186
Lisle 023,1283,11,19,43,0,73,5,5,10,0,20,10,18,21,0,49,6,11,21,0,38,180
Lisle 024,798,12,6,15,0,33,2,3,5,0,10,11,14,9,0,34,12,7,16,0,35,112
Lisle 025,1135,17,22,21,0,60,3,6,9,0,18,17,12,14,0,43,13,15,27,0,55,176
Lisle 026,1143,9,12,15,0,36,11,1,9,0,21,44,37,45,0,126,17,13,28,0,58,241
Lisle 027,1172,12,7,19,0,38,10,10,13,0,33,24,22,39,0,85,37,35,43,0,115,271
Lisle 028,1277,15,8,22,0,45,0,14,7,0,21,13,27,39,0,79,13,8,34,0,55,200
Lisle 029,840,3,5,17,0,25,0,1,3,0,4,5,13,16,0,34,5,3,13,0,21,84
Lisle 030,1121,9,29,28,0,66,9,4,11,0,24,14,20,47,0,81,17,22,37,0,76,247
Lisle 031,1071,11,20,22,0,53,12,12,13,0,37,12,19,29,0,60,14,23,40,0,77,227
Lisle 032,1156,9,11,30,0,50,9,7,9,0,25,27,39,23,0,89,13,15,23,0,51,215
Lisle 033,902,3,14,24,0,41,2,7,6,0,15,20,29,39,0,88,8,12,25,0,45,189
Lisle 034,1208,15,18,31,0,64,6,12,6,0,24,22,38,24,0,84,14,14,17,0,45,217
Lisle 035,1050,7,3,20,0,30,3,5,11,0,19,41,56,53,0,150,6,15,17,0,38,237
Lisle 036,1057,4,11,16,0,31,6,5,6,0,17,18,16,45,0,79,4,23,21,0,48,175
Lisle 037,1274,15,18,26,0,59,9,7,7,0,23,31,25,60,0,116,13,25,25,0,63,261
Lisle 038,831,11,7,13,0,31,5,7,8,0,20,12,13,29,0,54,8,12,18,0,38,143
Lisle 039,927,9,21,18,0,48,1,7,5,0,13,16,13,37,0,66,13,13,28,0,54,181
Lisle 040,1293,19,21,28,0,68,6,7,8,0,21,14,15,38,0,67,21,24,36,0,81,237
Lisle 041,1224,12,17,29,0,58,5,8,6,0,19,15,23,24,0,62,29,18,40,0,87,226
Lisle 042,1128,16,12,20,0,48,4,1,6,0,11,13,26,21,0,60,14,22,34,0,70,189
Lisle 043,938,9,7,18,0,34,0,9,4,0,13,8,11,23,0,42,7,17,24,0,48,137
Lisle 044,1010,14,14,18,0,46,5,4,12,0,21,12,27,15,0,54,13,17,22,0,52,173
Lisle 045,1132,4,13,22,0,39,5,9,13,0,27,13,18,28,0,59,21,17,36,0,74,199
Lisle 046,674,6,8,18,0,32,2,2,3,0,7,5,5,13,0,23,2,9,6,0,17,79
Lisle 047,847,5,8,15,0,28,9,4,12,0,25,19,20,36,0,75,19,18,30,0,67,195
Lisle 048,707,5,9,16,0,30,3,9,12,0,24,5,8,37,0,50,5,11,37,0,53,157
Lisle 049,1083,7,7,25,0,39,0,5,19,0,24,27,8,30,0,65,10,8,20,0,38,166
Lisle 050,926,6,7,31,0,44,4,2,4,0,10,14,26,33,0,73,8,5,22,0,35,162
Lisle 051,931,5,19,17,1,42,9,5,4,0,18,5,9,20,0,34,8,15,21,1,45,139
Lisle 052,1173,8,12,33,0,53,1,7,6,0,14,9,25,32,0,66,18,14,23,0,55,188
Lisle 053,1158,17,21,31,0,69,4,5,11,0,20,9,33,13,1,56,14,11,23,0,48,193
Lisle 054,1139,4,9,12,0,25,8,4,10,0,22,32,29,43,0,104,15,18,32,0,65,216
Lisle 055,1176,8,18,30,0,56,5,11,12,0,28,27,18,41,0,86,17,11,39,0,67,237
Lisle 056,862,5,7,30,0,42,3,3,4,0,10,12,12,19,0,43,13,10,20,0,43,138
Lisle 057,1158,10,15,31,0,56,3,9,11,0,23,26,32,51,0,109,15,19,29,0,63,251
Lisle 058,1057,15,15,27,0,57,7,5,4,0,16,6,7,17,0,30,3,14,28,0,45,148
Lisle 059,1340,9,7,30,0,46,3,2,6,0,11,26,37,39,0,102,13,16,21,0,50,209
Lisle 060,1069,13,7,31,0,51,5,2,14,0,21,4,3,15,0,22,3,5,25,0,33,127
Lisle 061,807,2,6,8,0,16,5,3,7,0,15,17,15,19,0,51,10,16,20,0,46,128
Lisle 062,967,4,12,30,0,46,1,4,7,0,12,9,16,41,0,66,5,19,25,0,49,173
Lisle 063,1335,6,10,31,0,47,4,4,35,0,43,15,22,63,0,100,16,15,44,0,75,265
Lisle 064,1046,8,23,29,0,60,2,3,12,0,17,7,23,42,0,72,15,15,26,0,56,205
Lisle 065,1000,2,15,26,0,43,7,4,11,0,22,6,17,37,0,60,7,14,44,0,65,190
Lisle 066,962,5,7,15,0,27,2,3,7,0,12,9,22,30,1,62,6,7,16,0,29,130
Lisle 067,1217,15,16,22,0,53,5,3,8,0,16,8,13,27,0,48,16,6,14,0,36,153
Lisle 068,1266,14,23,26,0,63,4,6,7,0,17,10,12,19,0,41,12,11,26,0,49,170
Lisle 069,1039,14,8,21,0,43,6,4,8,0,18,7,19,12,0,38,24,8,16,0,48,147
Lisle 070,1145,16,10,28,0,54,1,1,11,0,13,7,12,15,0,34,15,9,15,0,39,140
Lisle 071,988,13,16,29,0,58,5,4,9,0,18,22,23,40,0,85,15,18,25,0,58,219
Lisle 072,1032,14,17,21,0,52,5,12,10,0,27,9,17,25,0,51,12,23,24,0,59,189
Lisle 073,1269,9,13,24,0,46,1,2,14,0,17,13,21,53,0,87,12,20,41,0,73,223
Lisle 074,859,8,8,18,0,34,2,7,9,0,18,9,11,36,0,56,11,17,33,0,61,169
Lisle 075,1075,13,9,29,0,51,0,3,12,0,15,14,21,32,0,67,11,7,39,0,57,190
Lisle 076,993,5,20,29,0,54,4,5,7,0,16,12,7,20,0,39,14,17,28,0,59,168
Lisle 077,1144,21,18,29,0,68,4,8,7,0,19,17,17,18,0,52,22,26,22,0,70,209
Milton 001,1048,8,6,14,0,28,2,3,6,0,11,8,10,14,0,32,5,14,6,0,25,96
Milton 002,1117,17,12,24,0,53,4,3,9,0,16,14,22,15,0,51,15,18,24,0,57,177
Milton 003,857,3,4,23,0,30,2,6,9,0,17,6,3,13,0,22,6,7,8,0,21,90
Milton 004,1407,18,17,50,0,85,8,11,12,0,31,14,11,14,0,39,14,12,27,0,53,208
Milton 005,1149,24,19,30,0,73,0,5,5,0,10,7,12,7,0,26,9,8,14,0,31,140
Milton 006,1057,44,29,43,0,116,1,5,9,0,15,11,10,12,0,33,7,2,23,0,32,196
Milton 007,1027,11,13,40,0,64,4,13,7,0,24,10,26,20,0,56,6,21,24,0,51,195
Milton 008,953,15,5,19,0,39,0,2,4,0,6,7,10,18,0,35,4,16,9,0,29,109
Milton 009,1114,29,20,30,0,79,11,10,11,0,32,20,14,22,0,56,17,14,23,0,54,221
Milton 010,965,40,18,47,0,105,6,4,6,0,16,5,9,11,0,25,1,5,15,0,21,167
Milton 011,483,23,18,34,0,75,0,3,2,0,5,9,7,11,0,27,8,8,9,0,25,132
Milton 012,1296,17,23,19,0,59,3,5,6,0,14,9,16,20,0,45,5,15,20,0,40,158
Milton 013,1014,8,9,13,0,30,7,6,7,0,20,6,11,11,0,28,7,8,19,0,34,112
Milton 014,1132,10,14,13,0,37,7,2,10,0,19,24,21,6,0,51,21,11,13,0,45,152
Milton 015,1334,16,24,26,0,66,0,4,6,0,10,20,19,19,0,58,8,32,18,0,58,192
Milton 016,1182,23,10,18,0,51,13,8,12,0,33,22,27,22,0,71,12,15,18,0,45,200
Milton 017,885,13,16,29,0,58,1,6,6,0,13,8,11,19,0,38,15,14,24,0,53,162
Milton 018,1129,13,19,33,0,65,9,2,10,0,21,21,25,28,0,74,31,13,29,0,73,233
Milton 019,890,22,20,15,0,57,6,10,5,0,21,25,5,22,0,52,29,24,27,0,80,210
Milton 020,1080,17,15,25,0,57,5,3,6,0,14,13,12,18,0,43,27,31,46,0,104,218
Milton 021,1121,19,19,27,0,65,4,4,8,0,16,18,11,20,0,49,20,17,43,0,80,210
Milton 022,825,14,13,21,0,48,3,5,5,0,13,6,5,10,0,21,4,7,16,0,27,109
Milton 023,796,7,22,10,0,39,2,4,8,0,14,9,19,17,0,45,7,10,11,0,28,126
Milton 024,1052,15,14,23,0,52,8,11,8,0,27,15,16,13,0,44,19,7,20,0,46,169
Milton 025,1177,7,16,18,0,41,2,10,7,0,19,22,12,21,0,55,12,12,24,0,48,163
Milton 026,1060,10,6,31,0,47,6,4,11,0,21,10,15,16,0,41,13,14,26,0,53,162
Milton 027,806,7,12,30,0,49,0,2,9,0,11,4,9,14,0,27,12,11,14,0,37,124
Milton 028,821,9,4,21,0,34,4,3,5,0,12,10,17,26,0,53,17,16,13,0,46,145
Milton 029,1046,22,18,36,0,76,7,4,12,0,23,9,17,18,0,44,23,26,43,0,92,235
Milton 030,891,11,11,20,0,42,4,1,7,0,12,13,9,12,0,34,7,12,14,0,33,121
Milton 031,1365,17,38,35,0,90,6,10,13,0,29,12,23,35,0,70,23,10,13,0,46,235
Milton 032,1266,30,29,42,0,101,7,9,12,0,28,22,22,32,0,76,31,17,51,0,99,304
Milton 033,1366,31,23,39,0,93,15,3,9,0,27,18,20,23,0,61,33,26,27,0,86,267
Milton 034,1237,12,12,16,0,40,10,4,6,0,20,21,21,28,0,70,24,19,41,0,84,214
Milton 035,1276,16,10,21,0,47,9,5,11,0,25,26,9,22,0,57,34,27,37,0,98,227
Milton 036,1169,15,9,23,0,47,5,1,3,0,9,36,18,34,0,88,38,18,40,0,96,240
Milton 037,963,15,28,6,0,49,7,20,6,0,33,19,31,9,0,59,15,39,13,0,67,208
Milton 038,1204,17,19,29,0,65,9,9,12,0,30,22,6,17,0,45,23,16,17,0,56,196
Milton 039,908,20,21,33,0,74,8,4,6,0,18,21,16,19,0,56,19,6,17,0,42,190
Milton 040,1202,12,25,47,0,84,3,8,10,0,21,17,17,24,0,58,15,13,30,0,58,221
Milton 041,897,15,12,33,0,60,7,10,12,0,29,17,16,33,0,66,14,7,17,0,38,193
Milton 042,1112,24,21,34,0,79,8,1,8,0,17,19,26,13,0,58,22,18,28,0,68,222
Milton 043,1071,27,22,36,0,85,3,8,14,0,25,11,7,12,0,30,33,22,28,0,83,223
Milton 044,1079,16,13,36,0,65,3,8,7,0,18,21,14,23,0,58,18,14,35,0,67,208
Milton 045,1296,18,23,25,0,66,6,14,20,0,40,14,9,27,0,50,20,23,51,0,94,250
Milton 046,923,34,19,60,0,113,3,4,5,0,12,5,3,8,0,16,9,9,9,0,27,168
Milton 047,1013,15,23,22,0,60,8,15,8,0,31,10,29,12,0,51,16,23,27,0,66,208
Milton 048,963,13,21,42,0,76,4,5,10,0,19,5,20,27,0,52,7,18,29,0,54,201
Milton 049,443,7,6,14,0,27,1,4,1,0,6,4,4,8,0,16,12,8,16,0,36,85
Milton 050,765,15,14,18,0,47,10,2,3,0,15,10,18,10,0,38,7,8,12,0,27,127
Milton 051,1120,19,15,27,0,61,9,8,6,0,23,18,19,25,0,62,23,22,28,0,73,219
Milton 052,1116,19,23,24,0,66,8,11,9,0,28,11,9,14,0,34,18,14,22,0,54,182
Milton 053,755,8,3,24,0,35,6,6,4,0,16,5,11,6,0,22,14,12,29,0,55,128
Milton 054,1314,23,18,46,0,87,16,7,12,0,35,27,16,32,0,75,18,30,36,0,84,281
Milton 055,1157,26,13,42,0,81,8,6,8,0,22,12,9,21,0,42,25,23,55,0,103,248
Milton 056,1120,26,12,44,0,82,8,9,9,0,26,14,9,13,0,36,14,12,19,0,45,189
Milton 057,1048,22,23,27,0,72,4,7,6,0,17,13,23,22,0,58,11,20,35,0,66,213
Milton 058,1001,8,10,21,0,39,7,6,15,0,28,9,34,22,0,65,13,17,22,0,52,184
Milton 059,1086,9,12,30,0,51,10,5,6,0,21,13,17,17,0,47,8,16,27,0,51,170
Milton 060,1194,12,21,19,0,52,3,16,14,0,33,15,10,19,0,44,18,23,29,0,70,199
Milton 061,1020,31,30,27,0,88,9,10,3,0,22,14,16,15,0,45,24,19,19,0,62,217
Milton 062,1222,36,15,36,0,87,9,2,9,0,20,21,24,23,0,68,22,22,40,0,84,259
Milton 063,681,6,3,15,0,24,0,6,4,0,10,12,11,14,0,37,18,7,18,0,43,114
Milton 064,1196,16,18,23,0,57,14,3,7,0,24,17,15,28,0,60,19,15,24,0,58,199
Milton 065,920,14,14,27,0,55,5,6,3,0,14,15,24,20,0,59,13,11,22,0,46,174
Milton 066,1046,21,14,26,0,61,7,4,6,0,17,20,20,20,0,60,21,21,32,0,74,212
Milton 067,898,17,13,41,0,71,4,6,16,0,26,19,18,17,0,54,19,10,36,0,65,216
Milton 068,985,6,12,25,0,43,6,10,3,0,19,9,16,18,0,43,15,25,16,0,56,161
Milton 069,1119,13,27,19,0,59,4,11,8,0,23,11,10,21,0,42,12,13,32,0,57,181
Milton 070,1191,8,16,23,0,47,6,1,11,0,18,8,29,25,0,62,12,8,34,0,54,181
Milton 071,1097,12,11,9,0,32,6,23,6,0,35,15,11,9,0,35,24,11,35,0,70,172
Milton 072,1268,19,8,34,0,61,10,6,6,0,22,13,12,26,0,51,21,15,15,0,51,185
Milton 073,896,24,22,26,0,72,6,10,14,0,30,19,12,19,0,50,16,20,53,0,89,241
Milton 074,898,22,12,30,0,64,5,5,6,0,16,14,16,24,0,54,8,18,25,0,51,185
Milton 075,886,13,21,29,0,63,2,9,12,0,23,8,15,21,0,44,13,19,27,0,59,189
Milton 076,1297,26,22,37,1,86,8,6,8,0,22,18,15,25,0,58,24,21,40,0,85,251
Milton 077,1148,12,11,27,0,50,5,1,5,0,11,14,18,11,0,43,6,24,17,0,47,151
Milton 078,812,11,20,14,0,45,2,6,4,0,12,10,17,5,0,32,9,10,15,0,34,123
Milton 079,970,10,14,29,0,53,6,15,8,0,29,19,19,19,0,57,14,15,29,0,58,197
Milton 080,974,19,12,37,0,68,3,5,12,0,20,23,28,37,0,88,17,22,33,0,72,248
Milton 081,936,15,17,31,0,63,4,5,14,0,23,10,14,30,0,54,14,12,24,0,50,190
Naperville 001,1339,12,32,77,0,121,3,8,12,0,23,6,22,27,0,55,1,10,18,0,29,228
Naperville 002,1138,15,22,41,0,78,2,6,6,0,14,13,13,12,0,38,10,14,20,0,44,174
Naperville 003,1411,11,16,20,0,47,8,36,11,0,55,22,70,34,0,126,13,32,19,0,64,292
Naperville 004,958,4,15,25,0,44,4,15,7,0,26,7,11,18,0,36,9,21,12,0,42,148
Naperville 005,1036,21,22,41,0,84,6,3,12,0,21,3,15,22,0,40,1,6,10,0,17,162
Naperville 006,1277,19,24,63,0,106,10,3,14,0,27,12,10,27,0,49,3,4,13,0,20,202
Naperville 007,1029,22,34,61,0,117,1,0,6,0,7,17,11,13,0,41,5,5,7,0,17,182
Naperville 008,1011,10,24,35,0,69,1,8,6,0,15,1,11,14,0,26,4,5,11,0,20,130
