FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
Naperville 009,1115,6,12,27,0,45,0,5,13,0,18,15,28,47,0,90,5,6,35,0,46,199
Naperville 010,1164,14,8,13,0,35,2,10,21,0,33,22,27,45,1,95,2,19,35,0,56,219
Naperville 011,1078,7,16,34,0,57,7,8,7,0,22,10,21,35,0,66,9,14,27,0,50,195
Naperville 012,1116,12,6,16,0,34,10,2,8,0,20,27,20,27,0,74,11,23,19,0,53,181
Naperville 013,1223,20,19,36,0,75,7,4,13,0,24,18,16,46,0,80,16,15,37,0,68,247
Naperville 014,1253,8,1,20,0,29,13,11,17,0,41,19,20,28,0,67,27,16,26,0,69,206
Naperville 015,1014,5,11,23,0,39,7,4,10,0,21,27,29,32,0,88,13,11,27,0,51,199
Naperville 016,1287,7,11,29,0,47,4,11,9,0,24,15,19,37,0,71,13,27,26,0,66,208
Naperville 017,1411,16,17,39,0,72,2,9,9,0,20,12,22,33,1,68,16,21,26,0,63,223
Naperville 018,1214,17,9,27,0,53,7,7,10,0,24,13,16,28,0,57,17,22,19,0,58,192
Naperville 019,1015,8,16,42,0,66,3,3,10,0,16,8,13,13,0,34,5,1,18,0,24,140
Naperville 020,1044,8,16,53,0,77,2,9,12,0,23,6,9,16,0,31,9,4,18,0,31,162
Naperville 021,1300,16,15,40,0,71,5,2,18,0,25,28,24,40,0,92,14,23,27,0,64,252
Naperville 022,1025,6,9,5,0,20,10,3,7,0,20,50,24,28,0,102,15,13,23,0,51,193
Naperville 023,1023,8,12,9,1,30,22,19,14,0,55,19,8,35,0,62,12,11,17,0,40,187
Naperville 024,1185,10,6,34,0,50,14,14,55,0,83,8,7,10,0,25,2,5,16,0,23,181
Naperville 025,1343,4,9,33,0,46,19,13,60,0,92,3,7,19,0,29,4,3,13,0,20,187
Naperville 026,857,11,9,20,0,40,8,11,25,0,44,5,6,23,0,34,3,8,6,0,17,135
Naperville 027,1018,12,6,27,0,45,31,14,28,0,73,7,5,16,0,28,14,2,9,0,25,171
Naperville 028,1330,15,9,30,0,54,23,16,19,0,58,17,11,16,0,44,10,6,14,0,30,186
Naperville 029,1102,3,12,29,0,44,9,16,18,0,43,20,21,34,0,75,8,8,22,0,38,200
Naperville 030,1150,14,10,20,0,44,18,14,10,0,42,33,31,30,0,94,14,23,27,0,64,244
Naperville 031,1243,3,17,10,0,30,14,14,8,0,36,42,46,21,0,109,26,22,16,0,64,239
Naperville 032,937,5,6,11,0,22,31,20,44,0,95,16,11,16,0,43,6,6,10,0,22,182
Naperville 033,1029,5,7,23,0,35,20,16,34,0,70,10,14,6,0,30,4,5,12,0,21,156
Naperville 034,1050,12,17,23,0,52,19,13,9,0,41,31,17,26,0,74,27,19,43,0,89,256
Naperville 035,1241,6,15,20,0,41,48,39,87,0,174,9,11,15,0,35,5,3,19,0,27,277
Naperville 036,739,10,8,18,0,36,20,30,27,0,77,11,6,15,0,32,2,4,7,0,13,158
Naperville 037,1207,10,11,29,0,50,29,21,86,0,136,13,8,29,0,50,5,3,12,0,20,256
Naperville 038,1358,16,7,32,0,55,29,42,66,0,137,6,8,16,0,30,5,7,19,0,31,253
Naperville 039,1229,5,9,37,0,51,19,29,60,0,108,7,13,16,0,36,3,2,14,0,19,214
Naperville 040,731,10,4,15,0,29,8,6,18,0,32,10,11,9,0,30,5,3,11,0,19,110
Naperville 041,1099,13,12,21,0,46,2,7,7,0,16,21,13,36,0,70,12,7,24,0,43,175
Naperville 042,1090,14,6,29,0,49,5,3,13,0,21,7,16,29,0,52,11,10,34,0,55,177
Naperville 043,1086,11,17,23,0,51,6,5,11,0,22,12,16,36,0,64,16,21,24,0,61,198
Naperville 044,990,5,17,20,0,42,7,6,12,0,25,29,13,24,0,66,27,20,24,0,71,204
Naperville 045,961,20,20,19,0,59,5,5,5,0,15,21,16,35,0,72,23,11,16,0,50,196
Naperville 046,1297,13,19,35,0,67,7,5,8,0,20,29,36,63,0,128,12,18,29,0,59,274
Naperville 047,1263,8,9,35,0,52,23,27,75,0,125,8,9,17,0,34,4,7,19,0,30,241
Naperville 048,1169,18,7,36,0,61,12,30,40,0,82,0,8,13,0,21,2,6,5,0,13,177
Naperville 049,1565,8,17,42,0,67,19,20,50,0,89,5,10,23,0,38,10,7,20,0,37,231
Naperville 050,1331,12,6,40,0,58,15,14,61,1,91,5,6,18,0,29,2,4,16,0,22,200
Naperville 051,1380,12,9,49,0,70,31,23,77,0,131,18,7,29,0,54,8,7,25,0,40,295
Naperville 052,1315,7,11,45,0,63,12,38,79,0,129,3,14,14,0,31,3,7,11,0,21,244
Naperville 053,1049,16,17,33,0,66,21,29,36,0,86,4,5,6,0,15,5,3,7,0,15,182
Naperville 054,1037,4,18,18,0,40,17,26,46,0,89,4,11,12,0,27,2,2,9,0,13,169
Naperville 055,1333,15,16,20,0,51,28,33,39,0,100,12,16,23,0,51,3,8,16,0,27,229
Naperville 056,1315,8,14,31,0,53,10,3,25,0,38,21,21,44,0,86,4,14,19,0,37,214
Naperville 057,960,5,8,15,0,28,2,3,17,0,22,29,18,46,0,93,11,18,23,0,52,195
Naperville 058,905,4,11,19,0,34,3,7,10,0,20,17,19,27,0,63,5,15,33,0,53,170
Wayne 001,1352,44,17,17,0,78,7,6,12,0,25,27,14,5,0,46,16,8,8,0,32,181
Wayne 002,1107,35,24,23,0,82,2,3,4,0,9,23,17,16,0,56,15,7,14,0,36,183
Wayne 003,1036,24,16,24,0,64,5,3,4,0,12,15,3,13,0,31,18,13,12,0,43,150
Wayne 004,1074,26,11,24,0,61,3,9,5,0,17,12,10,12,0,34,14,11,16,0,41,153
Wayne 005,746,1,7,35,0,43,4,1,7,0,12,7,6,7,0,20,3,6,9,0,18,93
Wayne 006,852,23,14,28,0,65,2,1,5,0,8,11,6,16,0,33,9,8,14,0,31,137
Wayne 007,1310,25,21,38,0,84,4,3,8,0,15,24,5,16,0,45,14,8,9,0,31,175
Wayne 008,917,23,13,26,0,62,7,2,5,0,14,17,7,14,0,38,15,11,7,0,33,147
Wayne 009,1036,27,14,31,0,72,9,3,7,0,19,14,11,12,0,37,13,7,10,0,30,158
Wayne 010,1091,21,24,38,0,83,5,5,3,0,13,18,6,12,0,36,6,9,20,0,35,167
Wayne 011,1082,24,21,29,0,74,3,7,4,0,14,12,12,18,0,42,12,6,17,0,35,165
Wayne 012,1255,27,36,33,0,96,12,8,5,0,25,9,8,10,0,27,9,14,13,0,36,184
Wayne 013,965,23,21,29,2,75,5,3,5,0,13,14,7,6,0,27,11,11,23,0,45,160
Wayne 014,1133,36,17,33,0,86,8,5,3,0,16,14,8,9,0,31,15,8,18,0,41,174
Wayne 015,1171,48,18,29,0,95,6,3,7,0,16,6,8,13,0,27,10,3,12,0,25,163
Wayne 016,897,26,18,21,0,65,1,6,3,0,10,5,9,10,0,24,8,2,12,0,22,121
Wayne 017,1228,24,18,39,0,81,4,5,9,0,18,20,10,16,0,46,13,11,19,0,43,188
Wayne 018,705,13,2,22,0,37,1,3,5,0,9,3,5,10,0,18,2,3,6,0,11,75
Wayne 019,1137,18,24,20,0,62,0,1,5,0,6,3,7,8,0,18,1,6,12,0,19,105
Wayne 020,1340,21,26,27,0,74,1,0,2,0,3,12,6,14,0,32,7,7,15,0,29,138
Wayne 021,1154,13,13,25,0,51,1,1,7,0,9,10,5,6,0,21,10,11,6,0,27,108
Wayne 022,952,22,10,22,0,54,2,3,6,0,11,5,5,5,0,15,6,6,10,0,22,102
Wayne 023,1077,19,15,26,0,60,4,7,5,0,16,10,11,10,0,31,9,5,12,0,26,133
Wayne 024,945,13,9,35,0,57,5,5,3,0,13,6,9,12,0,27,2,7,14,0,23,120
Wayne 025,1003,21,11,17,0,49,3,3,8,0,14,8,3,14,0,25,6,16,17,0,39,127
Wayne 026,1128,17,17,54,0,88,4,0,9,0,13,3,7,10,0,20,2,4,13,0,19,140
Wayne 027,1046,16,5,52,0,73,11,5,10,0,26,10,11,21,0,42,10,10,19,0,39,180
Wayne 028,1099,13,12,34,0,59,6,12,3,0,21,9,14,19,0,42,6,10,19,0,35,157
Wayne 029,940,7,19,27,0,53,0,6,5,0,11,13,8,25,0,46,2,7,30,0,39,149
Wayne 030,1194,15,16,37,0,68,4,7,9,0,20,10,23,24,0,57,10,19,27,0,56,201
Wayne 031,1079,20,18,34,0,72,2,9,8,0,19,10,13,15,0,38,5,16,18,0,39,168
Wayne 032,1028,9,11,31,0,51,1,7,5,0,13,8,17,11,0,36,9,9,16,0,34,134
Wayne 033,1246,12,36,31,0,79,3,3,4,0,10,3,6,10,0,19,1,7,16,0,24,132
Wayne 034,838,16,13,19,0,48,6,1,8,0,15,7,6,15,0,28,11,11,16,0,38,129
Wayne 035,702,15,10,10,0,35,3,1,4,0,8,9,10,7,0,26,6,6,14,0,26,95
Wayne 036,1123,23,26,40,0,89,1,8,9,0,18,3,17,16,0,36,15,20,41,0,76,219
Wayne 037,1117,11,11,33,0,55,4,5,6,0,15,4,7,16,0,27,10,7,13,0,30,127
Wayne 038,1309,4,44,37,0,85,1,3,4,0,8,2,12,14,0,28,3,13,16,0,32,153
Wayne 039,1425,40,37,71,0,148,3,0,4,0,7,1,6,5,0,12,7,1,4,0,12,179
Wayne 040,1001,17,24,26,1,68,4,3,1,0,8,8,12,4,0,24,9,9,6,0,24,124
Wayne 041,1093,20,18,34,0,72,2,3,4,0,9,8,14,7,0,29,9,12,14,0,35,145
Wayne 042,917,14,14,23,0,51,2,6,3,0,11,11,12,17,0,40,4,10,15,0,29,131
Wayne 043,971,24,24,26,0,74,1,5,3,0,9,2,8,8,0,18,7,10,7,0,24,125
Winfield 001,1187,31,34,106,0,171,1,1,4,0,6,3,5,5,0,13,1,4,11,0,16,206
Winfield 002,1101,46,24,64,0,134,5,4,4,0,13,7,7,9,0,23,2,6,13,0,21,191
Winfield 003,1129,16,11,22,0,49,6,7,4,0,17,8,17,6,0,31,19,11,15,0,45,142
Winfield 004,1197,25,33,40,0,98,9,6,14,0,29,11,12,12,0,35,15,18,23,0,56,218
Winfield 005,1361,41,45,111,0,197,3,3,5,0,11,2,4,9,0,15,1,5,8,0,14,237
Winfield 006,1117,20,24,62,1,107,0,2,2,0,4,4,11,16,0,31,3,8,20,0,31,173
Winfield 007,982,17,26,15,0,58,19,7,8,0,34,19,16,1,0,36,13,12,10,0,35,163
Winfield 008,1079,29,32,26,0,87,3,8,4,0,15,5,8,12,0,25,9,12,27,0,48,175
Winfield 009,1286,22,37,75,0,134,2,0,5,0,7,4,3,5,0,12,1,2,1,0,4,157
Winfield 010,1213,20,41,95,1,157,0,0,1,0,1,0,3,2,0,5,0,2,1,0,3,166
Winfield 011,875,14,28,57,0,99,1,4,0,0,5,1,1,2,0,4,0,3,4,0,7,115
Winfield 012,1103,25,22,62,0,109,0,0,2,0,2,0,0,2,0,2,0,2,0,0,2,115
Winfield 013,1444,27,25,98,1,151,1,2,3,0,6,1,3,3,0,7,2,4,4,0,10,174
Winfield 014,963,16,27,42,0,85,3,4,5,0,12,4,15,14,0,33,1,16,19,0,36,166
Winfield 015,1204,29,46,63,0,138,3,6,10,0,19,12,15,14,0,41,10,9,33,0,52,250
Winfield 016,1160,35,33,56,0,124,6,3,5,0,14,14,18,11,0,43,16,14,27,0,57,238
Winfield 017,1052,15,35,47,0,97,2,3,6,0,11,9,21,13,0,43,8,10,16,0,34,185
Winfield 018,1133,41,26,38,1,106,4,11,6,0,21,13,18,16,1,48,18,19,29,0,66,241
Winfield 019,918,23,18,18,0,59,2,2,12,0,16,9,9,12,0,30,7,18,17,0,42,147
Winfield 020,850,12,21,21,0,54,1,8,3,0,12,5,7,8,0,20,4,6,11,0,21,107
Winfield 021,940,14,17,28,0,59,3,2,2,0,7,16,8,12,0,36,13,14,17,0,44,146
Winfield 022,1358,18,42,80,0,140,2,1,8,0,11,2,5,19,0,26,4,14,13,0,31,208
Winfield 023,937,23,16,33,0,72,8,8,4,0,20,4,9,10,0,23,10,8,19,0,37,152
Winfield 024,1130,15,18,33,0,66,6,8,6,0,20,12,7,12,0,31,4,10,18,1,33,150
Winfield 025,840,13,11,34,0,58,10,3,10,0,23,8,14,11,0,33,13,5,14,0,32,146
Winfield 026,874,17,18,16,0,51,5,7,4,0,16,13,13,11,0,37,20,7,22,0,49,153
Winfield 027,962,9,11,23,0,43,3,5,8,0,16,10,18,20,0,48,6,15,23,0,44,151
York 001,1114,10,12,42,0,64,2,5,12,0,19,9,19,22,0,50,9,13,26,0,48,181
York 002,992,10,12,23,0,45,7,7,12,0,26,10,19,21,0,50,13,25,33,0,71,192
York 003,991,9,19,21,0,49,4,4,10,0,18,16,14,24,0,54,7,10,38,0,55,176
York 004,1188,15,21,28,0,64,1,8,8,0,17,14,9,27,0,50,7,15,39,0,61,192
York 005,581,4,7,28,0,39,1,1,1,0,3,2,5,7,0,14,6,2,7,0,15,71
York 006,1018,28,19,44,0,91,4,3,8,0,15,10,12,18,0,40,12,8,28,0,48,194
York 007,1096,30,14,42,0,86,4,0,5,0,9,18,15,25,0,58,16,9,15,0,40,193
York 008,860,18,17,32,0,67,2,5,8,0,15,7,5,11,0,23,4,9,11,0,24,129
York 009,1085,10,11,11,0,32,3,3,4,0,10,28,20,20,0,68,34,20,28,0,82,192
York 010,1295,14,21,23,0,58,11,5,7,0,23,26,22,25,0,73,47,18,23,0,88,242
York 011,1195,18,23,13,0,54,3,5,1,0,9,13,16,20,0,49,40,26,27,0,93,205
York 012,1136,19,14,22,0,55,7,1,1,0,9,35,12,22,0,69,37,18,20,0,75,208
York 013,1249,12,19,41,1,73,2,18,13,0,33,14,20,41,0,75,21,34,46,0,101,282
York 014,1015,26,11,21,0,58,6,2,5,0,13,10,6,16,0,32,18,17,19,0,54,157
York 015,1099,17,20,25,0,62,4,3,7,0,14,17,13,24,0,54,21,15,23,0,59,189
York 016,1095,21,23,33,0,77,0,2,11,0,13,20,26,31,0,77,17,4,28,0,49,216
York 017,1219,16,11,34,0,61,7,4,9,0,20,19,27,27,0,73,28,13,32,0,73,227
York 018,1228,15,11,25,0,51,6,3,1,0,10,25,15,29,0,69,28,19,40,0,87,217
York 019,1244,16,10,19,0,45,1,8,5,0,14,13,19,30,0,62,27,30,38,0,95,216
York 020,1241,24,17,28,0,69,9,7,11,0,27,19,13,38,0,70,15,17,49,0,81,247
York 021,945,10,26,35,0,71,1,4,6,0,11,16,22,21,0,59,6,9,22,0,37,178
York 022,1133,18,16,53,1,88,5,7,9,0,21,17,27,35,0,79,22,24,36,0,82,270
York 023,1380,20,29,47,1,97,3,8,9,0,20,26,32,65,0,123,15,20,40,1,76,316
York 024,1191,28,18,34,0,80,6,8,10,0,24,19,18,34,0,71,12,15,32,0,59,234
York 025,1192,24,20,30,0,74,7,1,7,0,15,47,46,35,0,128,14,15,28,0,57,274
York 026,930,12,15,34,0,61,5,3,5,0,13,14,15,18,0,47,14,16,16,0,46,167
York 027,864,5,3,22,0,30,1,4,8,0,13,12,10,20,0,42,16,11,24,0,51,136
York 028,895,7,10,18,0,35,3,5,6,0,14,20,11,16,0,47,29,22,18,0,69,165
York 029,984,7,4,13,0,24,1,3,2,0,6,15,15,15,0,45,11,17,27,0,55,130
York 030,803,8,10,16,0,34,1,3,5,0,9,16,12,26,0,54,15,9,30,0,54,151
York 031,1002,19,33,47,0,99,4,3,12,0,19,13,8,27,0,48,15,14,29,0,58,224
York 032,769,13,12,21,0,46,0,6,7,0,13,5,8,19,0,32,8,12,41,0,61,152
York 033,1010,15,19,43,0,77,2,0,10,0,12,22,20,45,0,87,12,20,39,0,71,247
York 034,1084,13,24,42,0,79,5,4,12,0,21,25,25,43,0,93,20,18,27,0,65,258
York 035,997,19,20,23,0,62,3,8,6,0,17,25,22,34,0,81,24,12,19,0,55,215
York 036,1031,16,11,38,0,65,1,4,7,0,12,27,17,18,0,62,19,8,19,0,46,185
York 037,1199,32,26,31,0,89,3,5,4,0,12,23,21,27,0,71,46,19,30,0,95,267
York 038,1225,34,20,37,0,91,16,11,10,0,37,25,12,35,0,72,25,16,53,0,94,294
York 039,959,23,14,28,0,65,10,5,8,0,23,28,10,22,0,60,10,17,20,0,47,195
York 040,1174,16,8,23,0,47,5,1,6,0,12,18,13,29,0,60,21,10,32,0,63,182
York 041,1205,5,12,21,0,38,4,9,8,0,21,23,22,40,0,85,8,15,38,0,61,205
York 042,1218,7,14,24,0,45,3,5,6,0,14,14,22,44,0,80,14,15,27,0,56,195
York 043,1145,11,6,29,0,46,5,1,5,0,11,33,28,50,0,111,17,9,30,0,56,224
York 044,1259,23,23,31,0,77,4,3,5,0,12,17,30,28,0,75,12,11,25,0,48,212
York 045,1192,23,14,53,0,90,4,3,7,0,14,18,15,34,0,67,9,25,45,0,79,250
York 046,1075,33,21,41,0,95,1,5,6,0,12,20,11,33,0,64,9,5,23,0,37,208
York 047,1199,43,25,45,0,113,7,3,4,0,14,27,10,40,0,77,25,16,30,2,73,277
York 048,1145,14,14,28,0,56,4,4,9,0,17,10,19,17,0,46,23,21,16,0,60,179
York 049,1003,15,9,19,0,43,5,3,9,0,17,11,49,57,0,117,10,13,20,0,43,220
York 050,1215,7,16,29,0,52,0,4,5,0,9,6,32,40,0,78,15,20,36,0,71,210
York 051,950,6,8,10,0,24,1,2,6,0,9,18,10,19,0,47,10,15,20,0,45,125
York 052,954,8,5,10,0,23,3,3,7,0,13,13,22,30,0,65,10,14,26,0,50,151
York 053,1366,16,14,66,0,96,4,5,16,0,25,14,19,15,0,48,15,13,24,0,52,221
York 054,992,28,10,42,0,80,2,3,4,0,9,10,12,30,0,52,15,8,26,0,49,190
York 055,1064,19,22,44,0,85,2,5,6,0,13,7,11,19,1,38,15,18,16,0,49,185
York 056,717,3,10,14,0,27,0,7,5,0,12,8,20,21,0,49,4,12,28,0,44,132
York 057,1171,9,15,22,0,46,2,3,6,0,11,29,28,21,0,78,15,26,25,0,66,201
York 058,972,13,13,25,0,51,4,2,5,0,11,14,18,32,0,64,12,12,28,0,52,178
York 059,1217,6,4,37,0,47,0,2,9,0,11,13,16,39,1,69,12,8,23,0,43,170
York 060,1192,23,22,52,0,97,4,6,8,0,18,11,12,22,0,45,17,14,28,0,59,219
York 061,1247,23,22,41,0,86,8,6,11,0,25,17,18,16,0,51,17,20,31,0,68,230
York 062,1111,16,20,40,0,76,3,2,5,0,10,14,7,20,0,41,6,4,16,0,26,153
York 063,929,24,18,47,0,89,4,6,5,0,15,8,14,13,0,35,8,8,27,0,43,182
York 064,1371,33,12,40,0,85,3,8,9,0,20,15,27,25,0,67,21,23,39,0,83,255
York 065,1288,45,16,43,0,104,4,7,3,0,14,19,29,15,0,63,18,22,17,0,57,238
York 066,1205,53,33,55,0,141,5,1,3,0,9,13,20,14,0,47,16,16,19,0,51,248
York 067,1118,18,23,28,0,69,11,6,10,0,27,33,38,24,0,95,13,26,26,0,65,256
York 068,1273,34,23,47,0,104,11,6,5,0,22,17,22,21,0,60,18,18,19,0,55,241
York 069,976,26,7,30,0,63,2,2,9,0,13,9,5,9,0,23,12,8,21,0,41,140
York 070,902,9,4,32,0,45,2,3,4,0,9,9,7,14,0,30,7,8,35,0,50,134
York 071,1148,10,14,13,0,37,4,8,3,0,15,13,19,7,0,39,18,17,28,0,63,154
York 072,1140,24,4,40,0,68,0,1,3,0,4,9,5,15,0,29,8,10,20,0,38,139
York 073,1069,15,25,38,0,78,5,8,9,0,22,6,19,26,0,51,9,34,53,0,96,247
York 074,1136,15,24,38,0,77,5,5,7,0,17,13,17,10,0,40,20,25,15,0,60,194
York 075,1171,34,13,24,0,71,5,4,7,0,16,16,25,14,0,55,34,30,21,0,85,227
York 076,880,10,9,17,0,36,3,4,3,0,10,11,12,10,0,33,9,12,17,0,38,117
York 077,1247,82,12,41,0,135,5,4,0,0,9,9,7,8,0,24,9,9,12,0,30,198
York 078,449,9,2,9,0,20,3,0,2,0,5,3,3,5,0,11,9,3,16,0,28,64
York 079,1128,64,10,53,0,127,1,6,2,0,9,8,6,12,0,26,9,13,12,0,34,196
York 080,1125,15,13,26,0,54,4,11,14,0,29,6,11,22,0,39,18,18,31,0,67,189
York 081,1301,11,16,24,0,51,2,4,13,0,19,18,20,32,0,70,16,24,36,0,76,216
York 082,823,36,6,17,0,59,4,5,3,0,12,4,8,4,0,16,1,7,9,0,17,104
York 083,839,10,11,27,0,48,4,8,4,0,16,8,16,8,0,32,9,12,9,0,30,126
York 084,1166,15,14,34,0,63,2,12,10,0,24,7,17,50,0,74,11,38,90,0,139,300
York 085,866,11,4,23,0,38,1,3,2,0,6,9,7,7,0,23,9,5,9,0,23,90
York 086,775,15,5,21,0,41,2,1,3,0,6,13,7,11,0,31,20,16,20,0,56,134
Total:,636822,8618,8723,16301,17,33659,2975,3525,5073,2,11575,7947,8798,11885,10,28640,7334,8027,13332,11,28704,102578
