FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
Downers Grove 065,971,1,7,27,0,35,4,7,10,0,21,7,6,21,0,34,1,2,3,0,6,96
Downers Grove 066,908,15,5,35,0,55,2,1,10,0,13,4,1,8,0,13,1,2,5,0,8,89
Downers Grove 067,903,7,2,14,0,23,10,5,14,0,29,1,8,18,0,27,3,2,5,0,10,89
Downers Grove 068,1022,4,2,22,0,28,5,4,15,0,24,3,3,17,0,23,2,0,2,0,4,79
Downers Grove 069,1245,9,2,21,0,32,8,0,16,0,24,11,6,13,0,30,1,3,4,0,8,94
Downers Grove 070,901,10,5,19,0,34,5,4,9,0,18,11,2,10,0,23,3,0,1,0,4,79
Downers Grove 071,971,8,4,13,0,25,4,2,9,0,15,14,8,11,0,33,3,0,6,0,9,82
Downers Grove 072,1068,8,2,20,0,30,8,6,18,0,32,10,5,12,0,27,3,0,3,0,6,95
Downers Grove 073,1190,4,7,22,0,33,11,4,37,0,52,4,7,19,0,30,2,1,8,0,11,126
Downers Grove 074,1004,3,10,7,0,20,8,11,15,0,34,5,3,10,0,18,1,6,2,0,9,81
Downers Grove 075,907,3,2,14,0,19,2,3,5,0,10,1,2,16,0,19,2,0,8,0,10,58
Downers Grove 076,1175,7,3,8,0,18,5,5,13,0,23,5,4,1,0,10,2,0,2,0,4,55
Downers Grove 077,1133,13,4,25,0,42,6,4,9,0,19,6,8,11,0,25,1,0,3,0,4,90
Downers Grove 078,1279,6,7,28,0,41,16,12,24,0,52,7,15,10,0,32,1,1,4,0,6,131
Downers Grove 079,961,5,4,13,0,22,5,6,17,0,28,9,4,12,0,25,6,1,4,0,11,86
Downers Grove 080,1087,8,3,16,0,27,6,3,11,0,20,10,14,14,0,38,1,1,5,0,7,92
Downers Grove 081,822,8,7,15,0,30,8,1,20,0,29,7,1,16,0,24,1,0,5,0,6,89
Downers Grove 082,988,4,2,18,0,24,2,5,12,0,19,7,3,15,0,25,2,1,7,0,10,78
Downers Grove 083,1290,2,5,21,0,28,7,4,15,0,26,4,6,25,0,35,6,2,6,0,14,103
Downers Grove 084,994,1,5,34,0,40,3,4,9,0,16,9,6,26,0,41,0,0,7,0,7,104
Downers Grove 085,1266,10,14,22,0,46,9,1,16,0,26,8,18,18,0,44,3,3,4,0,10,126
Downers Grove 086,1206,14,9,30,0,53,18,12,27,0,57,5,5,14,0,24,6,4,8,0,18,152
Downers Grove 087,1165,5,2,13,0,20,12,4,11,0,27,8,6,12,0,26,0,0,1,0,1,74
Downers Grove 088,775,10,9,16,0,35,15,2,18,0,35,6,3,13,0,22,1,0,1,0,2,94
Downers Grove 089,1151,6,3,27,0,36,4,3,12,0,19,2,1,14,0,17,1,0,3,0,4,76
Downers Grove 090,1157,5,5,19,0,29,4,3,18,0,25,4,7,27,0,38,0,1,10,0,11,103
Downers Grove 091,924,8,8,12,0,28,9,4,25,0,38,10,6,12,0,28,2,4,1,0,7,101
Downers Grove 092,963,4,2,28,0,34,10,7,14,0,31,3,5,32,0,40,0,1,10,0,11,116
Downers Grove 093,1173,6,6,33,0,45,3,2,15,0,20,1,9,9,0,19,2,0,4,0,6,90
Downers Grove 094,1235,9,4,26,0,39,11,3,23,0,37,4,5,14,0,23,1,3,4,0,8,107
Downers Grove 095,845,7,3,15,0,25,11,13,21,0,45,3,4,9,0,16,0,1,0,0,1,87
Downers Grove 096,1056,1,4,18,0,23,1,2,15,0,18,8,6,22,0,36,0,0,8,0,8,85
Downers Grove 097,982,5,6,14,0,25,7,4,12,0,23,2,2,18,0,22,1,2,3,0,6,76
Downers Grove 098,1136,13,13,21,0,47,5,3,8,0,16,6,4,15,0,25,1,2,7,0,10,98
Downers Grove 099,1136,3,2,11,0,16,4,0,2,0,6,1,3,6,0,10,1,0,2,0,3,35
Downers Grove 100,1031,4,8,12,0,24,4,4,2,0,10,5,8,11,0,24,0,2,4,0,6,64
Downers Grove 101,1189,6,1,14,0,21,6,4,22,0,32,9,3,8,0,20,0,0,4,0,4,77
Downers Grove 102,1182,3,3,19,0,25,6,11,27,0,44,1,6,21,0,28,1,1,4,0,6,103
Downers Grove 103,887,5,1,8,0,14,0,0,1,0,1,1,2,16,0,19,0,0,3,0,3,37
Lisle 001,1145,13,10,29,0,52,3,3,3,0,9,9,10,11,0,30,1,0,11,0,12,103
Lisle 002,986,5,2,12,0,19,2,2,8,0,12,1,4,5,0,10,1,3,5,0,9,50
Lisle 003,1160,4,9,20,0,33,3,1,14,0,18,2,1,12,0,15,0,0,5,0,5,71
Lisle 004,1172,9,6,21,0,36,4,4,8,0,16,6,6,17,0,29,0,4,5,0,9,90
Lisle 005,1216,5,10,29,0,44,4,2,6,0,12,4,4,13,0,21,3,2,3,0,8,85
Lisle 006,1316,7,4,17,0,28,3,3,10,0,16,3,0,9,0,12,5,1,4,0,10,66
Lisle 007,1161,14,4,25,0,43,10,3,7,0,20,14,2,14,0,30,2,0,7,0,9,102
Lisle 008,1161,5,3,11,0,19,5,1,5,0,11,4,1,12,0,17,1,1,5,0,7,54
Lisle 009,1249,8,1,11,0,20,9,6,7,0,22,14,2,7,0,23,1,3,1,0,5,70
Lisle 010,1279,18,3,19,0,40,9,8,23,0,40,7,5,11,0,23,7,1,4,0,12,115
Lisle 011,1014,12,1,26,0,39,3,4,14,0,21,3,5,10,0,18,3,0,9,0,12,90
Lisle 012,1273,9,8,21,0,38,5,8,1,0,14,5,9,9,0,23,4,1,6,0,11,86
Lisle 013,1002,7,3,15,0,25,4,1,10,0,15,8,7,4,0,19,1,0,6,0,7,66
Lisle 014,851,5,5,7,0,17,0,1,2,0,3,1,2,4,0,7,2,2,0,0,4,31
Lisle 015,887,4,2,15,0,21,3,0,9,0,12,4,0,11,0,15,0,3,4,0,7,55
Lisle 016,1191,14,25,27,0,66,7,2,7,1,17,14,12,20,1,47,1,4,5,0,10,140
Lisle 017,981,13,2,14,0,29,3,3,5,0,11,5,2,10,0,17,3,0,8,0,11,68
Lisle 018,1123,7,0,11,0,18,9,1,10,0,20,13,6,20,0,39,1,0,7,0,8,85
Lisle 019,1037,7,7,21,0,35,10,3,12,0,25,7,7,26,0,40,2,3,4,0,9,109
Lisle 020,1229,13,7,31,0,51,3,2,5,0,10,4,6,8,0,18,3,2,8,0,13,92
Lisle 021,1113,9,1,23,0,33,2,6,9,0,17,5,4,8,0,17,3,0,3,0,6,73
Lisle 022,910,1,7,25,0,33,1,0,10,0,11,2,1,9,0,12,0,0,4,0,4,60
Lisle 023,1283,2,2,17,0,21,7,3,4,0,14,4,0,8,0,12,6,1,5,0,12,59
Lisle 024,798,4,3,15,0,22,5,2,8,0,15,4,4,12,0,20,2,2,4,0,8,65
Lisle 025,1135,6,4,14,0,24,5,4,12,0,21,4,2,10,0,16,5,0,0,0,5,66
Lisle 026,1143,10,14,40,0,64,2,4,5,0,11,8,10,13,0,31,2,2,9,0,13,119
Lisle 027,1172,8,11,34,0,53,2,2,10,0,14,8,5,18,0,31,2,0,8,0,10,108
Lisle 028,1277,8,6,33,0,47,6,1,9,0,16,7,3,15,0,25,0,1,10,0,11,99
Lisle 029,840,8,4,13,0,25,1,2,1,0,4,2,1,0,0,3,1,0,2,0,3,35
Lisle 030,1121,6,2,20,0,28,2,0,5,0,7,4,8,13,0,25,1,2,7,0,10,70
Lisle 031,1071,5,7,29,0,41,4,2,5,0,11,3,8,12,0,23,1,2,3,0,6,81
Lisle 032,1156,5,6,15,0,26,10,3,10,0,23,7,3,7,0,17,2,1,0,0,3,69
Lisle 033,902,4,5,15,0,24,10,7,13,0,30,11,4,11,0,26,2,1,10,0,13,93
Lisle 034,1208,3,8,17,0,28,4,3,9,0,16,4,2,19,0,25,1,0,3,0,4,73
Lisle 035,1050,10,5,23,0,38,4,6,10,0,20,4,3,23,0,30,1,2,2,1,6,94
Lisle 036,1057,8,4,52,0,64,5,1,8,0,14,9,8,19,0,36,0,0,12,0,12,126
Lisle 037,1274,39,15,77,0,131,6,0,9,0,15,0,8,23,0,31,2,3,13,0,18,195
Lisle 038,831,9,8,19,0,36,3,7,2,0,12,4,0,12,0,16,1,2,6,0,9,73
Lisle 039,927,3,2,27,0,32,4,1,8,0,13,0,4,10,0,14,1,1,8,0,10,69
Lisle 040,1293,15,12,22,0,49,2,2,8,0,12,6,10,13,0,29,3,1,6,0,10,100
Lisle 041,1224,12,5,17,0,34,2,5,6,0,13,7,10,20,0,37,2,4,4,0,10,94
Lisle 042,1128,3,7,13,0,23,3,2,4,0,9,3,6,8,0,17,1,2,3,0,6,55
Lisle 043,938,1,1,20,0,22,5,1,9,0,15,8,4,10,0,22,1,2,7,0,10,69
Lisle 044,1010,1,2,18,0,21,10,1,10,0,21,8,8,13,0,29,1,2,4,0,7,78
Lisle 045,1132,3,5,10,0,18,1,0,7,0,8,6,6,22,0,34,0,0,5,0,5,65
Lisle 046,674,1,1,4,0,6,2,3,2,0,7,0,3,4,0,7,0,0,0,0,0,20
Lisle 047,847,6,4,16,0,26,4,1,7,0,12,8,4,22,0,34,2,1,4,0,7,79
Lisle 048,707,8,1,25,0,34,4,0,11,0,15,7,5,14,0,26,6,0,4,0,10,85
Lisle 049,1083,7,11,35,0,53,5,6,12,0,23,3,7,20,0,30,1,3,4,0,8,114
Lisle 050,926,9,6,14,0,29,1,1,11,0,13,11,6,9,0,26,1,3,5,0,9,77
Lisle 051,931,2,1,10,0,13,3,2,8,0,13,3,4,15,0,22,0,3,6,0,9,57
Lisle 052,1173,7,6,15,0,28,7,2,11,0,20,3,6,15,0,24,1,2,2,0,5,77
Lisle 053,1158,3,1,10,0,14,5,1,7,0,13,8,3,11,0,22,0,4,5,0,9,58
Lisle 054,1139,17,6,52,0,75,4,1,22,0,27,9,9,29,0,47,4,1,11,0,16,165
Lisle 055,1176,6,4,23,0,33,6,4,18,0,28,6,7,27,0,40,0,3,4,0,7,108
Lisle 056,862,4,6,10,0,20,6,0,4,0,10,2,4,5,0,11,3,0,0,0,3,44
Lisle 057,1158,4,4,34,0,42,9,4,13,0,26,1,4,19,0,24,2,4,15,0,21,113
Lisle 058,1057,2,1,16,0,19,0,1,13,0,14,4,4,13,0,21,4,0,9,0,13,67
Lisle 059,1340,7,8,17,0,32,4,2,22,0,28,4,0,17,0,21,2,0,3,0,5,86
Lisle 060,1069,6,0,2,0,8,5,2,9,0,16,0,0,10,0,10,1,1,2,0,4,38
Lisle 061,807,16,8,28,0,52,6,0,9,0,15,10,3,15,0,28,1,1,5,0,7,102
Lisle 062,967,2,5,23,0,30,5,4,11,0,20,9,1,22,0,32,0,1,3,0,4,86
Lisle 063,1335,5,4,50,0,59,4,3,13,0,20,3,5,24,0,32,3,0,8,0,11,122
Lisle 064,1046,1,4,30,0,35,0,0,4,0,4,3,4,16,0,23,2,2,11,0,15,77
Lisle 065,1000,8,2,18,0,28,5,7,10,0,22,2,5,20,0,27,3,2,5,0,10,87
Lisle 066,962,2,1,7,0,10,4,7,3,0,14,5,2,3,0,10,0,1,6,0,7,41
Lisle 067,1217,4,0,12,0,16,2,0,10,0,12,3,8,9,0,20,5,0,3,0,8,56
Lisle 068,1266,10,3,14,0,27,1,1,4,0,6,4,8,16,0,28,1,1,8,0,10,71
Lisle 069,1039,4,0,16,0,20,5,2,6,0,13,6,5,11,0,22,3,1,3,0,7,62
Lisle 070,1145,5,3,4,0,12,2,6,4,0,12,2,6,4,0,12,0,0,0,0,0,36
Lisle 071,988,10,2,23,0,35,4,3,14,0,21,13,6,4,0,23,0,3,9,0,12,91
Lisle 072,1032,5,7,23,0,35,4,2,15,0,21,1,6,13,0,20,2,1,4,0,7,83
Lisle 073,1269,6,10,32,0,48,2,3,9,0,14,0,9,11,0,20,0,3,11,0,14,96
Lisle 074,859,4,3,25,0,32,3,8,6,0,17,8,8,16,0,32,2,2,4,0,8,89
Lisle 075,1075,4,8,26,0,38,6,1,23,0,30,3,10,13,0,26,0,3,8,0,11,105
Lisle 076,993,8,4,14,0,26,3,2,9,0,14,5,1,11,0,17,3,0,3,0,6,63
Lisle 077,1144,9,0,14,0,23,11,2,15,0,28,8,6,5,0,19,2,1,5,0,8,78
Milton 001,1048,6,3,36,0,45,7,1,15,0,23,3,10,10,0,23,1,0,9,0,10,101
Milton 002,1117,9,8,26,0,43,4,5,15,0,24,3,9,21,0,33,0,0,7,0,7,107
Milton 003,857,0,1,9,0,10,2,0,1,0,3,1,0,4,0,5,1,0,1,0,2,20
Milton 004,1407,1,5,9,0,15,1,3,3,0,7,3,4,10,0,17,3,1,3,0,7,46
Milton 005,1149,2,2,6,0,10,1,1,10,0,12,2,1,8,0,11,0,0,1,0,1,34
Milton 006,1057,4,4,4,0,12,5,4,12,0,21,4,3,5,0,12,0,1,4,0,5,50
Milton 007,1027,5,9,13,0,27,4,1,6,0,11,1,3,6,0,10,0,2,6,0,8,56
Milton 008,953,2,6,14,0,22,4,4,4,0,12,1,1,6,0,8,1,0,4,0,5,47
Milton 009,1114,3,2,30,0,35,7,2,10,0,19,8,2,17,0,27,0,0,7,0,7,88
Milton 010,965,0,0,19,0,19,7,0,17,0,24,2,4,9,0,15,0,0,4,0,4,62
Milton 011,483,3,2,5,0,10,0,0,3,0,3,1,1,2,0,4,0,0,0,0,0,17
Milton 012,1296,11,15,41,0,67,3,5,42,0,50,10,9,21,0,40,2,2,10,0,14,171
Milton 013,1014,6,4,30,0,40,5,3,26,0,34,9,4,20,0,33,2,1,6,0,9,116
Milton 014,1132,42,11,46,0,99,9,4,9,0,22,3,4,11,0,18,0,0,7,0,7,146
Milton 015,1334,20,14,48,0,82,5,1,21,0,27,1,0,13,0,14,4,0,4,0,8,131
Milton 016,1182,12,5,25,0,42,12,4,19,0,35,5,9,11,0,25,2,0,1,0,3,105
Milton 017,885,22,5,23,0,50,8,8,15,0,31,2,6,16,0,24,0,3,9,0,12,117
Milton 018,1129,7,6,18,0,31,9,2,6,0,17,9,3,10,0,22,3,2,4,0,9,79
Milton 019,890,6,7,30,0,43,7,2,5,0,14,8,4,6,0,18,1,2,4,0,7,82
Milton 020,1080,21,3,20,0,44,3,1,10,0,14,4,4,12,0,20,1,0,4,0,5,83
Milton 021,1121,7,4,24,0,35,10,3,6,0,19,4,4,10,0,18,3,2,3,0,8,80
Milton 022,825,7,5,15,0,27,6,7,17,0,30,7,4,9,0,20,0,0,4,0,4,81
Milton 023,796,8,3,25,0,36,12,0,18,0,30,3,4,5,0,12,3,0,2,0,5,83
Milton 024,1052,15,11,47,0,73,6,3,8,0,17,7,6,15,0,28,5,3,1,0,9,127
Milton 025,1177,11,11,40,0,62,6,6,5,0,17,3,7,11,0,21,3,1,2,0,6,106
Milton 026,1060,6,5,32,0,43,4,4,8,0,16,2,3,20,0,25,2,2,10,0,14,98
Milton 027,806,11,11,30,0,52,6,5,10,0,21,6,4,14,0,24,3,5,9,0,17,114
Milton 028,821,4,5,29,0,38,9,4,13,0,26,6,8,15,0,29,0,0,7,0,7,100
Milton 029,1046,3,6,15,0,24,3,7,10,0,20,1,3,3,0,7,2,3,1,0,6,57
Milton 030,891,5,10,15,0,30,4,3,14,0,21,3,3,14,0,20,0,0,0,0,0,71
Milton 031,1365,12,2,29,0,43,13,12,23,0,48,2,5,14,0,21,1,0,9,0,10,122
Milton 032,1266,16,12,41,0,69,6,1,9,0,16,4,2,10,0,16,3,3,6,0,12,113
Milton 033,1366,17,5,21,0,43,19,6,20,0,45,10,4,10,0,24,5,0,5,0,10,122
Milton 034,1237,13,2,22,0,37,8,3,14,0,25,3,1,15,0,19,2,0,3,0,5,86
Milton 035,1276,13,6,16,0,35,4,5,10,0,19,3,3,11,0,17,1,1,6,0,8,79
Milton 036,1169,10,8,24,0,42,4,3,9,0,16,3,4,9,0,16,1,0,2,0,3,77
Milton 037,963,14,18,20,0,52,18,25,6,0,49,4,21,2,0,27,3,11,1,0,15,143
Milton 038,1204,17,7,13,0,37,18,8,21,0,47,5,6,10,0,21,3,0,11,0,14,119
Milton 039,908,11,1,20,0,32,5,5,9,0,19,2,3,9,0,14,1,1,7,0,9,74
Milton 040,1202,5,4,15,0,24,6,1,8,0,15,5,6,7,0,18,2,4,2,0,8,65
Milton 041,897,8,4,18,0,30,9,7,6,0,22,5,3,4,0,12,1,1,3,0,5,69
Milton 042,1112,12,10,20,0,42,12,3,17,0,32,9,5,11,0,25,3,0,3,0,6,105
Milton 043,1071,18,10,31,0,59,5,2,11,0,18,6,7,7,0,20,4,1,2,0,7,104
Milton 044,1079,8,10,15,0,33,4,9,11,0,24,6,7,5,0,18,6,0,5,0,11,86
Milton 045,1296,10,10,13,0,33,15,7,16,0,38,5,11,8,0,24,2,0,2,0,4,99
Milton 046,923,0,1,4,0,5,5,1,7,0,13,1,0,3,0,4,1,2,1,0,4,26
Milton 047,1013,14,3,22,0,39,15,5,16,0,36,5,6,12,0,23,1,0,6,0,7,105
Milton 048,963,5,6,30,0,41,4,4,17,0,25,5,6,13,0,24,0,1,3,0,4,94
Milton 049,443,10,9,14,0,33,0,1,6,0,7,1,2,1,0,4,0,0,1,0,1,45
Milton 050,765,8,2,30,0,40,1,1,11,0,13,3,2,25,0,30,2,0,2,0,4,87
Milton 051,1120,8,0,17,0,25,8,4,23,0,35,8,5,11,0,24,3,0,6,0,9,93
Milton 052,1116,5,5,11,0,21,4,1,5,0,10,9,2,8,0,19,1,3,3,0,7,57
Milton 053,755,2,2,10,0,14,3,2,3,0,8,3,3,6,0,12,0,1,2,0,3,37
Milton 054,1314,6,7,34,0,47,12,2,18,0,32,4,4,7,0,15,3,2,3,0,8,102
Milton 055,1157,9,5,26,0,40,6,1,6,0,13,3,6,14,0,23,0,2,7,0,9,85
Milton 056,1120,7,4,9,0,20,5,3,15,0,23,6,5,10,0,21,0,1,1,0,2,66
Milton 057,1048,8,1,15,0,24,10,5,20,0,35,2,0,11,0,13,1,1,2,0,4,76
Milton 058,1001,10,9,35,0,54,7,5,16,0,28,5,8,11,0,24,4,3,5,0,12,118
Milton 059,1086,12,4,50,0,66,4,4,19,0,27,3,8,21,0,32,0,1,10,0,11,136
Milton 060,1194,15,9,33,0,57,8,8,11,0,27,7,6,34,0,47,2,5,6,0,13,144
Milton 061,1020,7,0,28,0,35,8,8,11,1,28,4,1,17,0,22,5,1,2,0,8,93
Milton 062,1222,9,3,11,0,23,20,3,12,0,35,9,3,13,0,25,5,3,8,0,16,99
Milton 063,681,17,5,20,0,42,5,2,7,0,14,3,6,6,0,15,2,1,5,0,8,79
Milton 064,1196,14,4,24,0,42,4,12,12,0,28,13,6,7,0,26,3,2,10,0,15,111
Milton 065,920,4,1,26,0,31,4,7,6,0,17,6,4,5,0,15,1,1,3,0,5,68
Milton 066,1046,16,5,32,0,53,13,3,10,0,26,7,5,15,0,27,3,2,3,0,8,114
Milton 067,898,9,2,30,0,41,5,3,8,0,16,2,3,10,0,15,0,0,5,0,5,77
Milton 068,985,5,2,28,0,35,1,2,15,0,18,1,8,16,0,25,2,8,7,0,17,95
Milton 069,1119,8,8,39,0,55,18,11,17,0,46,5,12,14,0,31,3,0,7,0,10,142
Milton 070,1191,35,12,54,0,101,10,10,15,0,35,6,7,23,0,36,0,2,10,0,12,184
Milton 071,1097,21,7,21,0,49,14,5,11,0,30,8,2,5,0,15,0,1,1,0,2,96
Milton 072,1268,6,3,11,0,20,10,4,8,0,22,4,4,15,0,23,3,1,2,0,6,71
Milton 073,896,6,1,21,0,28,3,1,7,0,11,3,0,8,0,11,2,0,4,0,6,56
Milton 074,898,8,5,12,0,25,9,5,22,0,36,4,7,7,0,18,0,2,10,0,12,91
Milton 075,886,3,2,20,0,25,3,4,14,0,21,5,4,13,0,22,0,0,2,0,2,70
Milton 076,1297,5,4,33,0,42,8,1,29,0,38,6,4,24,0,34,6,3,5,0,14,128
Milton 077,1148,2,10,22,0,34,8,4,7,0,19,5,9,10,0,24,2,2,4,0,8,85
Milton 078,812,10,7,20,0,37,3,4,7,0,14,2,6,7,0,15,3,1,6,0,10,76
Milton 079,970,8,5,16,0,29,5,0,19,0,24,8,7,10,0,25,1,5,8,0,14,92
Milton 080,974,7,4,14,0,25,6,6,26,0,38,1,6,13,0,20,2,3,5,0,10,93
Milton 081,936,13,4,11,0,28,8,4,24,0,36,3,5,8,0,16,1,0,8,0,9,89
Naperville 001,1339,5,1,15,0,21,3,3,12,0,18,7,5,13,0,25,1,2,3,0,6,70
Naperville 002,1138,0,3,5,0,8,7,3,8,0,18,3,3,11,0,17,1,2,2,0,5,48
Naperville 003,1411,7,13,13,0,33,11,18,3,0,32,3,17,14,0,34,4,10,6,0,20,119
Naperville 004,958,2,6,6,0,14,5,4,6,0,15,5,4,6,0,15,0,2,6,0,8,52
Naperville 005,1036,2,11,14,0,27,0,3,3,0,6,2,2,10,0,14,1,2,2,0,5,52
Naperville 006,1277,3,0,13,0,16,0,0,1,0,1,2,3,6,0,11,0,2,2,0,4,32
Naperville 007,1029,5,3,10,0,18,3,2,9,0,14,2,3,7,0,12,0,0,6,0,6,50
