JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7800003,COOK:Leyden Precinct 3,23,8,19,13,63
COOK:7800004,COOK:Leyden Precinct 4,17,2,6,8,33
COOK:7800005,COOK:Leyden Precinct 5,37,3,10,6,56
COOK:7800006,COOK:Leyden Precinct 6,16,4,28,11,59
COOK:7800007,COOK:Leyden Precinct 7,18,1,5,2,26
COOK:7800008,COOK:Leyden Precinct 8,26,9,17,9,61
COOK:7800009,COOK:Leyden Precinct 9,31,13,22,12,78
COOK:7800010,COOK:Leyden Precinct 10,28,5,25,6,64
COOK:7800011,COOK:Leyden Precinct 11,23,6,22,6,57
COOK:7800012,COOK:Leyden Precinct 12,271,12,55,16,354
COOK:7800013,COOK:Leyden Precinct 13,16,3,11,6,36
COOK:7800014,COOK:Leyden Precinct 14,26,4,12,7,49
COOK:7800015,COOK:Leyden Precinct 15,15,5,14,11,45
COOK:7800016,COOK:Leyden Precinct 16,17,8,22,8,55
COOK:7800017,COOK:Leyden Precinct 17,20,3,10,5,38
COOK:7800018,COOK:Leyden Precinct 18,18,5,8,3,34
COOK:7800019,COOK:Leyden Precinct 19,27,4,15,5,51
COOK:7800020,COOK:Leyden Precinct 20,11,0,4,3,18
COOK:7800021,COOK:Leyden Precinct 21,3,4,4,4,15
COOK:7800022,COOK:Leyden Precinct 22,28,5,15,11,59
COOK:7800023,COOK:Leyden Precinct 23,50,8,36,7,101
COOK:7800024,COOK:Leyden Precinct 24,16,3,8,12,39
COOK:7800025,COOK:Leyden Precinct 25,19,3,12,11,45
COOK:7800026,COOK:Leyden Precinct 26,34,3,23,14,74
COOK:7800027,COOK:Leyden Precinct 27,9,1,3,1,14
COOK:7800028,COOK:Leyden Precinct 28,12,4,7,0,23
COOK:7800029,COOK:Leyden Precinct 29,9,1,11,2,23
COOK:7800030,COOK:Leyden Precinct 30,31,8,21,12,72
COOK:7800031,COOK:Leyden Precinct 31,21,6,17,9,53
COOK:7800032,COOK:Leyden Precinct 32,21,5,13,5,44
COOK:7800033,COOK:Leyden Precinct 33,21,5,12,14,52
COOK:7800034,COOK:Leyden Precinct 34,19,5,10,1,35
COOK:7800035,COOK:Leyden Precinct 35,5,0,7,5,17
COOK:7800036,COOK:Leyden Precinct 36,24,5,8,5,42
COOK:7800037,COOK:Leyden Precinct 37,39,2,7,5,53
COOK:7800038,COOK:Leyden Precinct 38,30,3,4,0,37
COOK:7800039,COOK:Leyden Precinct 39,10,5,11,8,34
COOK:7800040,COOK:Leyden Precinct 40,10,12,20,16,58
COOK:7800041,COOK:Leyden Precinct 41,11,5,7,6,29
COOK:7800042,COOK:Leyden Precinct 42,47,9,19,12,87
COOK:7800043,COOK:Leyden Precinct 43,15,3,11,4,33
COOK:7800044,COOK:Leyden Precinct 44,21,5,16,9,51
COOK:7800045,COOK:Leyden Precinct 45,23,5,21,4,53
COOK:7800046,COOK:Leyden Precinct 46,25,5,7,8,45
COOK:7800047,COOK:Leyden Precinct 47,11,6,13,35,65
COOK:7800048,COOK:Leyden Precinct 48,16,10,12,17,55
COOK:7800049,COOK:Leyden Precinct 49,36,6,12,10,64
COOK:7800050,COOK:Leyden Precinct 50,28,4,12,6,50
COOK:7900001,COOK:Lyons Precinct 1,5,0,1,0,6
COOK:7900002,COOK:Lyons Precinct 2,19,5,23,13,60
COOK:7900003,COOK:Lyons Precinct 3,15,7,19,7,48
COOK:7900004,COOK:Lyons Precinct 4,25,6,18,0,49
COOK:7900005,COOK:Lyons Precinct 5,20,6,18,6,50
COOK:7900006,COOK:Lyons Precinct 6,17,12,21,11,61
COOK:7900007,COOK:Lyons Precinct 7,11,7,14,7,39
COOK:7900008,COOK:Lyons Precinct 8,23,2,14,2,41
COOK:7900009,COOK:Lyons Precinct 9,18,6,13,3,40
COOK:7900010,COOK:Lyons Precinct 10,15,5,8,3,31
COOK:7900011,COOK:Lyons Precinct 11,10,1,11,6,28
COOK:7900012,COOK:Lyons Precinct 12,49,12,36,18,115
COOK:7900013,COOK:Lyons Precinct 13,1,1,0,0,2
COOK:7900014,COOK:Lyons Precinct 14,28,3,10,1,42
COOK:7900015,COOK:Lyons Precinct 15,13,2,10,2,27
COOK:7900016,COOK:Lyons Precinct 16,36,7,13,5,61
COOK:7900017,COOK:Lyons Precinct 17,45,3,23,10,81
COOK:7900018,COOK:Lyons Precinct 18,16,2,11,4,33
COOK:7900019,COOK:Lyons Precinct 19,15,1,13,7,36
COOK:7900020,COOK:Lyons Precinct 20,27,7,14,7,55
COOK:7900021,COOK:Lyons Precinct 21,46,3,17,5,71
COOK:7900022,COOK:Lyons Precinct 22,10,3,5,4,22
COOK:7900023,COOK:Lyons Precinct 23,42,12,48,8,110
COOK:7900024,COOK:Lyons Precinct 24,32,6,9,6,53
COOK:7900025,COOK:Lyons Precinct 25,18,3,26,7,54
COOK:7900026,COOK:Lyons Precinct 26,35,7,16,4,62
COOK:7900027,COOK:Lyons Precinct 27,15,9,25,6,55
COOK:7900028,COOK:Lyons Precinct 28,28,11,29,5,73
COOK:7900029,COOK:Lyons Precinct 29,27,5,22,7,61
COOK:7900030,COOK:Lyons Precinct 30,5,4,13,3,25
COOK:7900031,COOK:Lyons Precinct 31,28,4,13,11,56
COOK:7900032,COOK:Lyons Precinct 32,4,5,23,0,32
COOK:7900033,COOK:Lyons Precinct 33,10,3,9,0,22
COOK:7900034,COOK:Lyons Precinct 34,12,4,9,1,26
COOK:7900035,COOK:Lyons Precinct 35,24,6,22,6,58
COOK:7900036,COOK:Lyons Precinct 36,29,14,28,3,74
COOK:7900037,COOK:Lyons Precinct 37,8,2,11,10,31
COOK:7900038,COOK:Lyons Precinct 38,5,5,2,2,14
COOK:7900039,COOK:Lyons Precinct 39,18,10,21,6,55
COOK:7900040,COOK:Lyons Precinct 40,33,4,16,10,63
COOK:7900041,COOK:Lyons Precinct 41,16,6,22,5,49
COOK:7900042,COOK:Lyons Precinct 42,36,2,12,2,52
COOK:7900043,COOK:Lyons Precinct 43,15,0,12,2,29
COOK:7900044,COOK:Lyons Precinct 44,32,7,9,10,58
COOK:7900045,COOK:Lyons Precinct 45,30,12,17,9,68
COOK:7900046,COOK:Lyons Precinct 46,40,0,21,5,66
COOK:7900047,COOK:Lyons Precinct 47,21,4,15,8,48
COOK:7900048,COOK:Lyons Precinct 48,29,6,11,3,49
COOK:7900049,COOK:Lyons Precinct 49,19,5,21,12,57
COOK:7900050,COOK:Lyons Precinct 50,12,2,15,2,31
COOK:7900051,COOK:Lyons Precinct 51,30,2,21,2,55
COOK:7900052,COOK:Lyons Precinct 52,30,11,28,10,79
COOK:7900053,COOK:Lyons Precinct 53,24,5,28,8,65
COOK:7900054,COOK:Lyons Precinct 54,10,3,11,3,27
COOK:7900055,COOK:Lyons Precinct 55,29,9,18,6,62
COOK:7900056,COOK:Lyons Precinct 56,15,7,14,3,39
COOK:7900057,COOK:Lyons Precinct 57,12,2,9,0,23
COOK:7900058,COOK:Lyons Precinct 58,13,5,24,6,48
COOK:7900059,COOK:Lyons Precinct 59,15,5,10,10,40
COOK:7900060,COOK:Lyons Precinct 60,8,2,3,0,13
COOK:7900061,COOK:Lyons Precinct 61,24,3,14,3,44
COOK:7900062,COOK:Lyons Precinct 62,37,11,19,20,87
COOK:7900063,COOK:Lyons Precinct 63,40,6,27,13,86
COOK:7900064,COOK:Lyons Precinct 64,23,4,14,9,50
COOK:7900065,COOK:Lyons Precinct 65,31,10,42,3,86
COOK:7900066,COOK:Lyons Precinct 66,4,8,3,0,15
COOK:7900067,COOK:Lyons Precinct 67,9,6,13,4,32
COOK:7900068,COOK:Lyons Precinct 68,9,8,17,2,36
COOK:7900069,COOK:Lyons Precinct 69,36,5,25,7,73
COOK:8000001,COOK:Maine Precinct 1,20,4,22,1,47
COOK:8000002,COOK:Maine Precinct 2,6,2,8,0,16
COOK:8000003,COOK:Maine Precinct 3,14,1,3,1,19
COOK:8000004,COOK:Maine Precinct 4,61,10,26,4,101
COOK:8000005,COOK:Maine Precinct 5,27,5,11,8,51
COOK:8000006,COOK:Maine Precinct 6,55,7,30,10,102
COOK:8000007,COOK:Maine Precinct 7,15,3,15,4,37
COOK:8000008,COOK:Maine Precinct 8,47,3,20,2,72
COOK:8000009,COOK:Maine Precinct 9,35,7,14,11,67
COOK:8000010,COOK:Maine Precinct 10,29,5,12,9,55
COOK:8000011,COOK:Maine Precinct 11,10,3,7,1,21
COOK:8000012,COOK:Maine Precinct 12,27,8,5,1,41
COOK:8000013,COOK:Maine Precinct 13,36,5,6,11,58
COOK:8000014,COOK:Maine Precinct 14,31,1,21,6,59
COOK:8000015,COOK:Maine Precinct 15,24,2,11,4,41
COOK:8000016,COOK:Maine Precinct 16,24,4,5,4,37
COOK:8000017,COOK:Maine Precinct 17,27,2,22,4,55
COOK:8000018,COOK:Maine Precinct 18,19,3,10,4,36
COOK:8000019,COOK:Maine Precinct 19,9,5,10,2,26
COOK:8000020,COOK:Maine Precinct 20,22,3,10,6,41
COOK:8000021,COOK:Maine Precinct 21,35,6,31,9,81
COOK:8000022,COOK:Maine Precinct 22,37,6,14,5,62
COOK:8000023,COOK:Maine Precinct 23,32,1,6,6,45
COOK:8000024,COOK:Maine Precinct 24,48,5,13,7,73
COOK:8000025,COOK:Maine Precinct 25,32,1,16,3,52
COOK:8000026,COOK:Maine Precinct 26,30,5,19,8,62
COOK:8000027,COOK:Maine Precinct 27,17,1,5,2,25
COOK:8000028,COOK:Maine Precinct 28,6,4,8,2,20
COOK:8000029,COOK:Maine Precinct 29,54,6,18,5,83
COOK:8000030,COOK:Maine Precinct 30,65,5,25,6,101
COOK:8000031,COOK:Maine Precinct 31,41,2,13,9,65
COOK:8000032,COOK:Maine Precinct 32,49,4,16,2,71
COOK:8000033,COOK:Maine Precinct 33,4,5,6,0,15
COOK:8000034,COOK:Maine Precinct 34,27,11,20,8,66
COOK:8000035,COOK:Maine Precinct 35,21,0,14,5,40
COOK:8000036,COOK:Maine Precinct 36,38,4,7,9,58
COOK:8000037,COOK:Maine Precinct 37,32,5,12,3,52
COOK:8000038,COOK:Maine Precinct 38,25,1,10,2,38
COOK:8000039,COOK:Maine Precinct 39,47,4,19,3,73
COOK:8000040,COOK:Maine Precinct 40,16,4,12,1,33
COOK:8000041,COOK:Maine Precinct 41,17,6,13,4,40
COOK:8000042,COOK:Maine Precinct 42,36,2,19,7,64
COOK:8000043,COOK:Maine Precinct 43,41,4,23,4,72
COOK:8000044,COOK:Maine Precinct 44,24,2,5,3,34
COOK:8000045,COOK:Maine Precinct 45,23,4,10,3,40
COOK:8000046,COOK:Maine Precinct 46,44,1,19,6,70
COOK:8000047,COOK:Maine Precinct 47,30,5,31,7,73
COOK:8000048,COOK:Maine Precinct 48,36,7,19,11,73
COOK:8000049,COOK:Maine Precinct 49,20,4,16,3,43
COOK:8000050,COOK:Maine Precinct 50,20,2,16,4,42
COOK:8000051,COOK:Maine Precinct 51,27,3,11,4,45
COOK:8000052,COOK:Maine Precinct 52,24,3,11,3,41
COOK:8000053,COOK:Maine Precinct 53,19,6,11,8,44
COOK:8000054,COOK:Maine Precinct 54,36,3,15,1,55
COOK:8000055,COOK:Maine Precinct 55,39,2,23,3,67
COOK:8000056,COOK:Maine Precinct 56,24,2,15,8,49
COOK:8000057,COOK:Maine Precinct 57,15,3,3,1,22
COOK:8000058,COOK:Maine Precinct 58,51,5,33,5,94
COOK:8000059,COOK:Maine Precinct 59,49,0,28,2,79
COOK:8000060,COOK:Maine Precinct 60,57,7,28,7,99
COOK:8000061,COOK:Maine Precinct 61,14,3,5,1,23
COOK:8000062,COOK:Maine Precinct 62,15,4,10,7,36
COOK:8000063,COOK:Maine Precinct 63,15,2,6,1,24
COOK:8000064,COOK:Maine Precinct 64,26,3,8,4,41
COOK:8000065,COOK:Maine Precinct 65,27,2,13,3,45
COOK:8000066,COOK:Maine Precinct 66,64,3,4,7,78
COOK:8000067,COOK:Maine Precinct 67,69,13,15,5,102
COOK:8000068,COOK:Maine Precinct 68,40,5,32,5,82
COOK:8000069,COOK:Maine Precinct 69,20,9,11,5,45
COOK:8000070,COOK:Maine Precinct 70,19,6,6,3,34
COOK:8000071,COOK:Maine Precinct 71,23,2,11,3,39
COOK:8000072,COOK:Maine Precinct 72,64,4,15,10,93
COOK:8000073,COOK:Maine Precinct 73,33,6,16,4,59
COOK:8000074,COOK:Maine Precinct 74,20,5,5,5,35
COOK:8000075,COOK:Maine Precinct 75,35,4,12,1,52
COOK:8000076,COOK:Maine Precinct 76,13,2,5,1,21
COOK:8000077,COOK:Maine Precinct 77,50,7,35,10,102
COOK:8000078,COOK:Maine Precinct 78,8,5,9,3,25
COOK:8000079,COOK:Maine Precinct 79,24,3,18,4,49
COOK:8000080,COOK:Maine Precinct 80,19,1,10,1,31
COOK:8000081,COOK:Maine Precinct 81,21,3,16,5,45
COOK:8000082,COOK:Maine Precinct 82,34,2,7,4,47
COOK:8000083,COOK:Maine Precinct 83,25,4,9,2,40
COOK:8100001,COOK:New Trier Precinct 1,28,3,9,3,43
COOK:8100002,COOK:New Trier Precinct 2,31,5,6,2,44
COOK:8100003,COOK:New Trier Precinct 3,37,2,9,0,48
COOK:8100004,COOK:New Trier Precinct 4,27,2,9,2,40
COOK:8100005,COOK:New Trier Precinct 5,20,3,0,1,24
COOK:8100006,COOK:New Trier Precinct 6,17,0,3,1,21
COOK:8100007,COOK:New Trier Precinct 7,22,2,4,2,30
COOK:8100008,COOK:New Trier Precinct 8,17,1,3,4,25
COOK:8100009,COOK:New Trier Precinct 9,25,2,9,0,36
COOK:8100010,COOK:New Trier Precinct 10,26,1,6,6,39
COOK:8100011,COOK:New Trier Precinct 11,45,0,10,3,58
COOK:8100012,COOK:New Trier Precinct 12,44,2,4,3,53
COOK:8100013,COOK:New Trier Precinct 13,58,4,6,1,69
COOK:8100014,COOK:New Trier Precinct 14,29,0,8,1,38
COOK:8100015,COOK:New Trier Precinct 15,46,3,14,2,65
COOK:8100016,COOK:New Trier Precinct 16,46,2,15,4,67
COOK:8100017,COOK:New Trier Precinct 17,20,4,10,3,37
COOK:8100018,COOK:New Trier Precinct 18,22,1,5,0,28
COOK:8100019,COOK:New Trier Precinct 19,60,1,13,5,79
COOK:8100020,COOK:New Trier Precinct 20,49,4,10,3,66
COOK:8100021,COOK:New Trier Precinct 21,37,4,6,2,49
COOK:8100022,COOK:New Trier Precinct 22,46,3,12,6,67
COOK:8100023,COOK:New Trier Precinct 23,38,3,12,3,56
COOK:8100024,COOK:New Trier Precinct 24,31,2,8,5,46
COOK:8100025,COOK:New Trier Precinct 25,36,0,1,0,37
COOK:8100026,COOK:New Trier Precinct 26,52,1,13,5,71
COOK:8100027,COOK:New Trier Precinct 27,19,3,5,0,27
COOK:8100028,COOK:New Trier Precinct 28,31,1,4,0,36
COOK:8100029,COOK:New Trier Precinct 29,30,2,9,1,42
COOK:8100030,COOK:New Trier Precinct 30,24,4,4,1,33
COOK:8100031,COOK:New Trier Precinct 31,31,2,9,1,43
COOK:8100032,COOK:New Trier Precinct 32,19,1,1,1,22
COOK:8100033,COOK:New Trier Precinct 33,24,1,2,2,29
COOK:8100034,COOK:New Trier Precinct 34,23,1,4,4,32
COOK:8100035,COOK:New Trier Precinct 35,19,0,5,4,28
COOK:8100036,COOK:New Trier Precinct 36,58,2,2,3,65
COOK:8100037,COOK:New Trier Precinct 37,29,0,3,4,36
COOK:8100038,COOK:New Trier Precinct 38,41,2,4,2,49
COOK:8100039,COOK:New Trier Precinct 39,35,2,5,0,42
COOK:8200001,COOK:Niles Precinct 1,38,8,21,5,72
COOK:8200002,COOK:Niles Precinct 2,33,4,8,6,51
COOK:8200003,COOK:Niles Precinct 3,47,5,16,7,75
COOK:8200004,COOK:Niles Precinct 4,19,2,4,2,27
COOK:8200005,COOK:Niles Precinct 5,14,1,3,3,21
COOK:8200006,COOK:Niles Precinct 6,46,2,14,7,69
COOK:8200007,COOK:Niles Precinct 7,22,4,7,5,38
COOK:8200008,COOK:Niles Precinct 8,4,1,2,1,8
COOK:8200009,COOK:Niles Precinct 9,29,8,27,9,73
COOK:8200010,COOK:Niles Precinct 10,19,7,11,4,41
COOK:8200011,COOK:Niles Precinct 11,17,1,4,0,22
COOK:8200012,COOK:Niles Precinct 12,13,1,4,1,19
COOK:8200013,COOK:Niles Precinct 13,47,3,27,6,83
COOK:8200014,COOK:Niles Precinct 14,15,2,7,3,27
COOK:8200015,COOK:Niles Precinct 15,21,9,13,1,44
COOK:8200016,COOK:Niles Precinct 16,22,3,12,5,42
COOK:8200017,COOK:Niles Precinct 17,23,2,13,3,41
COOK:8200018,COOK:Niles Precinct 18,23,4,12,2,41
COOK:8200019,COOK:Niles Precinct 19,12,2,3,0,17
COOK:8200020,COOK:Niles Precinct 20,19,4,19,2,44
COOK:8200021,COOK:Niles Precinct 21,7,0,2,0,9
COOK:8200022,COOK:Niles Precinct 22,13,5,3,3,24
COOK:8200023,COOK:Niles Precinct 23,12,1,4,3,20
COOK:8200024,COOK:Niles Precinct 24,18,4,8,4,34
COOK:8200025,COOK:Niles Precinct 25,7,2,2,1,12
COOK:8200026,COOK:Niles Precinct 26,17,4,6,1,28
COOK:8200027,COOK:Niles Precinct 27,13,1,6,2,22
COOK:8200028,COOK:Niles Precinct 28,16,0,2,0,18
COOK:8200029,COOK:Niles Precinct 29,8,1,4,3,16
COOK:8200030,COOK:Niles Precinct 30,11,0,3,2,16
COOK:8200031,COOK:Niles Precinct 31,16,5,6,3,30
COOK:8200032,COOK:Niles Precinct 32,11,2,5,1,19
COOK:8200033,COOK:Niles Precinct 33,18,1,7,6,32
COOK:8200034,COOK:Niles Precinct 34,29,3,8,3,43
COOK:8200035,COOK:Niles Precinct 35,23,4,14,7,48
COOK:8200036,COOK:Niles Precinct 36,10,0,2,0,12
COOK:8200037,COOK:Niles Precinct 37,22,3,7,7,39
COOK:8200038,COOK:Niles Precinct 38,49,3,27,3,82
COOK:8200039,COOK:Niles Precinct 39,18,3,7,4,32
COOK:8200040,COOK:Niles Precinct 40,20,1,2,4,27
COOK:8200041,COOK:Niles Precinct 41,25,5,6,6,42
COOK:8200042,COOK:Niles Precinct 42,7,2,15,4,28
COOK:8200043,COOK:Niles Precinct 43,48,3,30,4,85
COOK:8200044,COOK:Niles Precinct 44,8,5,8,1,22
COOK:8200045,COOK:Niles Precinct 45,12,3,3,2,20
COOK:8200046,COOK:Niles Precinct 46,11,0,6,3,20
COOK:8200047,COOK:Niles Precinct 47,9,0,2,0,11
COOK:8200048,COOK:Niles Precinct 48,6,2,6,1,15
COOK:8200049,COOK:Niles Precinct 49,10,2,4,2,18
COOK:8200050,COOK:Niles Precinct 50,21,5,13,4,43
COOK:8200051,COOK:Niles Precinct 51,11,1,5,3,20
COOK:8200052,COOK:Niles Precinct 52,19,4,9,1,33
COOK:8200053,COOK:Niles Precinct 53,35,3,13,6,57
COOK:8200054,COOK:Niles Precinct 54,21,1,9,2,33
COOK:8200055,COOK:Niles Precinct 55,5,2,8,0,15
COOK:8200056,COOK:Niles Precinct 56,20,3,9,0,32
COOK:8200057,COOK:Niles Precinct 57,22,1,14,5,42
COOK:8200058,COOK:Niles Precinct 58,16,7,8,4,35
COOK:8200059,COOK:Niles Precinct 59,39,2,12,4,57
COOK:8200060,COOK:Niles Precinct 60,40,14,13,5,72
COOK:8200061,COOK:Niles Precinct 61,21,2,13,5,41
COOK:8200062,COOK:Niles Precinct 62,8,3,8,6,25
COOK:8300001,COOK:Northfield Precinct 1,55,3,11,9,78
COOK:8300002,COOK:Northfield Precinct 2,37,5,9,4,55
COOK:8300003,COOK:Northfield Precinct 3,54,5,9,3,71
COOK:8300004,COOK:Northfield Precinct 4,39,2,16,0,57
COOK:8300005,COOK:Northfield Precinct 5,45,1,3,1,50
COOK:8300006,COOK:Northfield Precinct 6,49,1,14,2,66
COOK:8300007,COOK:Northfield Precinct 7,47,6,10,9,72
COOK:8300008,COOK:Northfield Precinct 8,77,4,22,5,108
COOK:8300009,COOK:Northfield Precinct 9,40,6,8,1,55
COOK:8300010,COOK:Northfield Precinct 10,29,1,9,2,41
COOK:8300011,COOK:Northfield Precinct 11,44,0,11,1,56
COOK:8300012,COOK:Northfield Precinct 12,79,4,15,2,100
COOK:8300013,COOK:Northfield Precinct 13,19,1,5,5,30
COOK:8300014,COOK:Northfield Precinct 14,30,2,15,3,50
COOK:8300015,COOK:Northfield Precinct 15,60,2,15,9,86
COOK:8300016,COOK:Northfield Precinct 16,53,1,4,1,59
COOK:8300017,COOK:Northfield Precinct 17,45,3,17,9,74
COOK:8300018,COOK:Northfield Precinct 18,44,2,3,2,51
COOK:8300019,COOK:Northfield Precinct 19,45,4,10,1,60
COOK:8300020,COOK:Northfield Precinct 20,33,1,15,3,52
COOK:8300021,COOK:Northfield Precinct 21,59,2,7,8,76
COOK:8300022,COOK:Northfield Precinct 22,33,4,8,4,49
COOK:8300023,COOK:Northfield Precinct 23,55,1,12,1,69
COOK:8300024,COOK:Northfield Precinct 24,35,3,3,5,46
COOK:8300025,COOK:Northfield Precinct 25,40,1,7,5,53
COOK:8300026,COOK:Northfield Precinct 26,25,4,7,1,37
COOK:8300027,COOK:Northfield Precinct 27,27,7,3,2,39
COOK:8300028,COOK:Northfield Precinct 28,36,1,12,0,49
COOK:8300029,COOK:Northfield Precinct 29,44,1,7,0,52
COOK:8300030,COOK:Northfield Precinct 30,32,1,2,4,39
COOK:8300031,COOK:Northfield Precinct 31,60,2,12,6,80
COOK:8300032,COOK:Northfield Precinct 32,55,6,10,4,75
COOK:8300033,COOK:Northfield Precinct 33,28,1,7,0,36
COOK:8300034,COOK:Northfield Precinct 34,26,4,11,6,47
COOK:8300035,COOK:Northfield Precinct 35,39,1,10,4,54
COOK:8300036,COOK:Northfield Precinct 36,39,1,5,4,49
COOK:8300037,COOK:Northfield Precinct 37,69,6,16,1,92
COOK:8300038,COOK:Northfield Precinct 38,35,4,5,2,46
COOK:8300039,COOK:Northfield Precinct 39,25,0,2,0,27
COOK:8300040,COOK:Northfield Precinct 40,16,1,5,1,23
COOK:8300041,COOK:Northfield Precinct 41,35,1,4,2,42
COOK:8300042,COOK:Northfield Precinct 42,53,7,11,6,77
COOK:8300043,COOK:Northfield Precinct 43,28,4,2,3,37
COOK:8300044,COOK:Northfield Precinct 44,27,1,4,1,33
COOK:8300045,COOK:Northfield Precinct 45,43,2,13,2,60
COOK:8300046,COOK:Northfield Precinct 46,52,6,8,2,68
COOK:8300047,COOK:Northfield Precinct 47,44,3,13,5,65
COOK:8300048,COOK:Northfield Precinct 48,20,2,11,5,38
COOK:8300049,COOK:Northfield Precinct 49,12,2,6,0,20
COOK:8300050,COOK:Northfield Precinct 50,63,2,4,8,77
COOK:8300051,COOK:Northfield Precinct 51,96,12,35,7,150
COOK:8300052,COOK:Northfield Precinct 52,25,1,16,2,44
COOK:8300053,COOK:Northfield Precinct 53,17,3,8,5,33
COOK:8300054,COOK:Northfield Precinct 54,46,5,12,7,70
COOK:8300055,COOK:Northfield Precinct 55,9,7,4,4,24
COOK:8300056,COOK:Northfield Precinct 56,63,1,11,10,85
COOK:8300057,COOK:Northfield Precinct 57,26,4,7,2,39
COOK:8300058,COOK:Northfield Precinct 58,19,5,4,1,29
COOK:8400001,COOK:Norwood Park Precinct 1,46,2,22,8,78
COOK:8400002,COOK:Norwood Park Precinct 2,17,7,7,8,39
COOK:8400003,COOK:Norwood Park Precinct 3,33,3,20,6,62
