REPRESENTATIVE IN CONGRESS NINTH CONGRESSIONAL DISTRICT (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,John Elleson,,,,,Paul Friedman,,,,,Rocio Cleveland,,,,,Dongbo Mark Su,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 1,961,11,7,3,3,24,9,0,3,0,12,39,1,1,0,41,1,0,1,0,2,79
Algonquin 2,980,18,4,4,0,26,13,3,2,1,19,4,1,0,0,5,1,0,0,0,1,51
Algonquin 3,925,22,10,5,0,37,9,2,3,0,14,2,1,2,0,5,6,1,0,0,7,63
Algonquin 4,995,15,7,2,1,25,11,4,1,2,18,3,1,2,0,6,0,0,0,2,2,51
Algonquin 5,1154,8,6,2,1,17,13,4,1,0,18,2,2,0,0,4,0,0,0,0,0,39
Algonquin 6,1026,13,3,8,0,24,14,4,2,0,20,3,0,0,0,3,3,0,1,0,4,51
Algonquin 7,1039,15,12,1,2,30,8,1,2,0,11,4,2,1,0,7,0,5,2,0,7,55
Algonquin 8,1059,29,15,3,0,47,8,6,0,1,15,1,4,3,0,8,0,0,0,1,1,71
Algonquin 9,987,11,13,0,0,24,23,3,1,1,28,2,0,0,0,2,2,0,0,0,2,56
Algonquin 10,1002,10,0,2,0,12,8,2,0,0,10,2,1,1,0,4,0,0,2,0,2,28
Algonquin 11,870,31,17,3,0,51,16,4,1,2,23,2,5,0,0,7,0,0,0,0,0,81
Algonquin 12,847,16,3,3,0,22,7,5,3,0,15,4,1,0,0,5,0,1,0,0,1,43
Algonquin 13,810,12,5,3,0,20,9,5,1,1,16,13,3,2,0,18,0,0,0,0,0,54
Algonquin 14,1001,19,7,0,0,26,12,3,1,0,16,17,8,0,0,25,0,2,1,0,3,70
Algonquin 15,955,17,8,7,0,32,11,7,3,0,21,0,2,3,0,5,2,1,0,1,4,62
Algonquin 16,1033,8,5,1,0,14,8,3,1,0,12,0,1,4,0,5,0,0,2,0,2,33
Algonquin 17,942,18,5,8,1,32,6,9,3,0,18,4,0,0,0,4,0,0,0,0,0,54
Algonquin 18,1159,14,6,5,0,25,19,6,3,0,28,3,3,1,0,7,1,1,0,0,2,62
Algonquin 19,861,19,1,6,0,26,16,3,0,0,19,7,0,0,1,8,1,0,0,0,1,54
Algonquin 20,978,29,5,5,0,39,17,3,0,0,20,6,1,2,0,9,0,0,1,0,1,69
Algonquin 21,1004,37,13,11,0,61,14,5,3,1,23,3,2,1,0,6,0,1,0,0,1,91
Algonquin 22,1016,33,0,1,0,34,13,2,1,0,16,6,0,1,0,7,3,0,1,0,4,61
Algonquin 23,767,14,7,6,0,27,10,2,3,0,15,0,0,0,0,0,0,0,1,0,1,43
Algonquin 24,773,11,10,1,0,22,9,3,1,0,13,0,1,2,0,3,0,0,0,0,0,38
Algonquin 25,909,15,3,1,0,19,7,5,3,0,15,1,0,0,0,1,1,1,0,0,2,37
Algonquin 26,921,22,9,2,0,33,10,5,5,0,20,3,0,2,0,5,5,1,1,0,7,65
Algonquin 27,962,18,3,4,0,25,20,2,0,0,22,1,0,1,0,2,1,0,0,0,1,50
Algonquin 28,1105,17,9,3,0,29,7,4,1,0,12,3,2,1,0,6,0,0,1,0,1,48
Algonquin 29,986,13,2,4,1,20,15,4,2,0,21,1,2,1,0,4,0,1,1,0,2,47
Algonquin 30,899,9,5,2,1,17,9,1,6,0,16,1,0,2,0,3,1,0,0,0,1,37
Algonquin 31,1298,9,6,7,0,22,4,2,2,0,8,1,0,0,0,1,1,2,1,0,4,35
Algonquin 32,939,14,6,4,0,24,19,6,7,0,32,0,1,1,0,2,2,4,0,0,6,64
Algonquin 33,1081,28,6,4,0,38,22,1,1,0,24,3,0,0,0,3,1,2,1,0,4,69
Algonquin 34,933,19,8,4,0,31,16,2,2,0,20,2,1,0,0,3,3,0,2,0,5,59
Algonquin 35,1015,16,9,4,0,29,10,6,0,0,16,0,2,0,0,2,2,0,0,0,2,49
Algonquin 36,858,22,2,2,0,26,13,1,0,0,14,10,0,1,0,11,0,1,0,0,1,52
Algonquin 37,933,26,3,2,0,31,14,1,1,0,16,13,0,0,0,13,2,0,0,0,2,62
Algonquin 38,1043,26,3,3,0,32,15,2,0,0,17,6,0,2,0,8,0,0,0,0,0,57
Algonquin 39,946,31,3,4,0,38,18,2,2,0,22,1,3,0,0,4,1,0,0,0,1,65
Algonquin 40,861,20,4,3,0,27,14,3,2,0,19,3,0,0,0,3,1,0,1,0,2,51
Algonquin 41,998,20,8,1,0,29,18,3,0,0,21,7,0,2,0,9,1,2,2,0,5,64
Algonquin 42,969,16,3,3,1,23,16,7,4,0,27,2,0,0,0,2,1,1,1,0,3,55
Algonquin 43,706,19,6,1,0,26,8,3,0,0,11,2,2,0,0,4,0,0,1,1,2,43
Algonquin 44,901,20,3,4,0,27,24,3,3,1,31,2,1,0,0,3,5,0,2,0,7,68
Algonquin 45,935,26,4,4,0,34,24,5,6,0,35,4,4,2,0,10,0,2,0,0,2,81
Algonquin 46,1085,23,4,8,0,35,9,9,4,0,22,5,0,2,1,8,1,0,1,0,2,67
Algonquin 47,992,12,7,6,1,26,12,3,3,0,18,0,1,0,0,1,3,0,0,0,3,48
Algonquin 48,938,16,3,2,2,23,24,0,0,0,24,4,1,1,0,6,1,0,0,0,1,54
Algonquin 49,932,21,8,5,1,35,13,1,2,0,16,2,0,1,0,3,2,0,1,0,3,57
Algonquin 50,992,30,5,0,0,35,15,4,2,1,22,2,0,0,0,2,2,0,2,1,5,64
Algonquin 51,1031,19,7,2,0,28,13,4,2,0,19,4,3,0,0,7,0,1,2,0,3,57
Algonquin 52,1012,18,5,0,0,23,14,3,1,0,18,7,1,2,0,10,1,1,2,0,4,55
Algonquin 53,1056,31,10,14,2,57,21,9,4,1,35,9,1,0,0,10,2,1,0,0,3,105
Algonquin 54,988,21,0,2,0,23,10,4,3,0,17,5,0,2,0,7,2,2,0,0,4,51
Algonquin 55,1055,29,6,7,0,42,14,1,1,0,16,7,1,0,0,8,4,1,2,0,7,73
Algonquin 56,882,20,6,3,0,29,15,3,3,0,21,6,0,3,4,13,4,0,1,0,5,68
Algonquin 57,979,25,2,2,0,29,17,2,1,0,20,2,0,0,0,2,0,0,0,0,0,51
Algonquin 58,1032,20,3,2,0,25,14,0,3,0,17,8,0,1,0,9,0,0,2,0,2,53
Algonquin 59,1053,32,6,2,4,44,21,5,4,0,30,2,2,1,0,5,1,1,0,0,2,81
Algonquin 60,1136,27,12,12,0,51,19,6,2,0,27,2,3,0,0,5,0,1,1,0,2,85
Algonquin 61,995,10,4,4,0,18,11,6,5,0,22,5,3,1,0,9,2,0,2,0,4,53
Algonquin 62,1038,17,15,8,0,40,22,13,6,0,41,7,2,4,0,13,2,2,1,0,5,99
Algonquin 63,967,19,6,6,2,33,17,4,4,0,25,3,0,0,0,3,2,0,0,0,2,63
Total:,61505,1226,383,241,23,1873,867,234,136,12,1249,273,76,59,6,414,77,39,43,6,165,3701
