FOR REPRESENTATIVE IN CONGRESS 2ND CONGRESSIONAL DISTRICT (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DONNA MILLER,,,,ERIC FRANCE,,,,ROBERT PETERS,,,,WILLIE PRESTON,,,,"JESSE LOUIS JACKSON, JR.",,,,YUMEKA BROWN,,,,"PATRICK J. ""PJK"" KEATING",,,,TONI C. BROWN,,,,SIDNEY MOORE,,,,ADAL REGIS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
CRETE PCT 001,1202,68,9,12,89,0,0,0,0,24,3,4,31,3,2,0,5,43,5,6,54,18,4,0,22,6,0,1,7,3,0,0,3,0,0,2,2,1,0,0,1,214
CRETE PCT 002,1394,49,6,14,69,1,0,0,1,26,3,1,30,0,0,1,1,21,5,11,37,3,0,0,3,3,0,2,5,1,0,0,1,1,0,1,2,0,0,1,1,150
CRETE PCT 003,1342,54,5,26,85,2,0,0,2,18,6,6,30,4,0,0,4,23,2,5,30,8,0,1,9,3,2,1,6,1,0,1,2,0,1,1,2,3,0,1,4,174
CRETE PCT 004,1360,73,16,39,128,2,0,3,5,19,1,3,23,4,0,2,6,61,10,17,88,11,0,6,17,2,1,6,9,1,0,1,2,5,0,0,5,0,0,1,1,284
CRETE PCT 005,1336,97,26,22,145,7,1,0,8,24,1,7,32,2,1,1,4,79,9,10,98,15,1,4,20,3,1,2,6,4,0,2,6,5,0,1,6,2,1,1,4,329
CRETE PCT 006,1286,39,17,27,83,2,0,0,2,18,8,12,38,2,0,0,2,41,9,16,66,9,1,7,17,3,1,3,7,2,0,1,3,1,0,0,1,1,2,1,4,223
CRETE PCT 007,1248,125,19,30,174,4,0,0,4,11,3,9,23,4,0,2,6,71,7,10,88,7,1,2,10,4,0,0,4,3,0,0,3,5,0,1,6,2,0,0,2,320
CRETE PCT 008,1427,56,21,10,87,2,0,3,5,28,5,3,36,2,0,0,2,51,8,6,65,14,1,6,21,3,0,0,3,2,0,0,2,3,0,1,4,0,0,1,1,226
CRETE PCT 009,1236,54,11,12,77,0,0,0,0,21,5,8,34,1,0,0,1,30,3,5,38,7,3,4,14,5,0,2,7,3,0,0,3,1,0,0,1,1,0,0,1,176
CRETE PCT 010,1065,24,6,21,51,3,0,0,3,11,1,10,22,1,1,0,2,20,4,2,26,2,3,2,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,113
CRETE PCT 011,1094,32,10,20,62,2,0,3,5,12,3,10,25,2,1,1,4,11,0,1,12,1,3,0,4,7,0,0,7,1,0,0,1,3,0,2,5,1,0,1,2,127
CRETE PCT 012,1026,52,7,8,67,2,0,0,2,19,2,6,27,1,1,0,2,32,5,6,43,5,0,2,7,8,0,0,8,2,0,0,2,1,0,0,1,1,0,0,1,160
MONEE PCT 001,1095,33,15,29,77,2,0,2,4,28,1,9,38,2,1,1,4,39,7,6,52,15,3,5,23,2,0,1,3,2,0,0,2,1,0,0,1,1,0,0,1,205
MONEE PCT 002,1286,74,22,24,120,1,0,2,3,14,1,14,29,5,0,2,7,64,7,11,82,15,2,1,18,1,1,0,2,2,0,0,2,3,0,0,3,1,4,0,5,271
MONEE PCT 003,1470,72,8,20,100,0,0,0,0,27,5,8,40,1,1,2,4,40,3,6,49,13,1,0,14,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,213
MONEE PCT 004,1538,75,14,18,107,0,0,0,0,19,4,5,28,4,0,2,6,27,6,4,37,20,2,3,25,6,0,5,11,1,1,0,2,0,0,0,0,1,0,1,2,218
MONEE PCT 005,1027,40,12,13,65,0,0,1,1,14,3,2,19,5,0,4,9,56,7,12,75,11,5,1,17,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,190
MONEE PCT 006,814,56,4,11,71,0,0,1,1,8,0,0,8,3,0,1,4,52,7,11,70,13,2,0,15,2,0,0,2,2,0,0,2,1,0,0,1,1,0,0,1,175
MONEE PCT 007,1181,91,9,16,116,1,0,0,1,11,0,7,18,6,0,1,7,109,9,10,128,21,4,0,25,1,0,0,1,6,0,2,8,1,0,1,2,0,0,0,0,306
MONEE PCT 008,1370,54,11,19,84,1,0,1,2,24,3,10,37,5,0,1,6,29,2,5,36,9,0,3,12,5,0,2,7,1,0,0,1,0,0,0,0,0,0,0,0,185
PEOTONE PCT 001,1516,22,1,11,34,0,0,1,1,20,1,2,23,2,0,0,2,8,0,2,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,74
PEOTONE PCT 002,1566,34,1,11,46,0,0,0,0,15,3,6,24,3,0,0,3,12,0,4,16,2,0,2,4,4,0,3,7,2,0,0,2,1,0,1,2,1,0,0,1,105
WASHINGTON PCT 001,1402,42,10,16,68,2,0,3,5,22,3,5,30,1,0,0,1,4,2,5,11,0,0,1,1,8,0,0,8,3,0,0,3,0,0,0,0,1,0,0,1,128
WASHINGTON PCT 002,1754,54,22,14,90,1,0,1,2,11,7,1,19,3,0,1,4,18,6,3,27,6,2,1,9,2,7,2,11,1,2,0,3,0,0,0,0,1,0,0,1,166
WASHINGTON PCT 003,1333,38,7,6,51,0,0,0,0,11,2,5,18,1,0,0,1,9,2,0,11,0,0,0,0,1,0,0,1,0,1,0,1,2,0,1,3,0,0,0,0,86
WILL PCT 001,1162,28,3,11,42,3,0,1,4,13,3,4,20,1,0,0,1,5,2,2,9,0,2,0,2,1,2,3,6,1,0,1,2,0,0,0,0,2,0,0,2,88
Total:,33530,1436,292,460,2188,38,1,22,61,468,77,157,702,68,8,22,98,955,127,176,1258,225,40,51,316,88,15,34,137,48,4,8,60,35,1,12,48,22,7,9,38,4906
